QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_000031	{nl}Pergi ke Camp dan tanyakan kepada master ku bila kamu bertanya-tanya mengapa kita harus melakukan ini.	{nl}이런 일을 시키신 스승님은 캠프에 계시니깐 이런 걸 찾는 이유가 궁금하면 가 봐.
QUEST_LV_0400_20161212_000032	{nl}Baiklah, lebih baik aku mulai mencari pada hal-hal ini untuk menemukan sesuatu yang berbeda.	{nl}그럼 나는 별 특이할 것이 없어 보이는 것들을 들여다 보면서 특이한 점을 찾아봐야겠다.
QUEST_LV_0400_20161212_000033	Hmm... Terima kasih atas rasa antusiasmu, tapi tempat ini terlalu berbahaya karena para demon berkeliaran di sekitarnya.{nl}Aku akan sangat menghargai bila kamu menanyakan kepada muridku bagaimana keadaan mereka.	음.. 매우 감사 드립니다만, 이곳은 마족들이 돌아다니고 있어 위험합니다. {nl}직접 찾기보단 제 제자들의 수색 상황을 알아봐주셨으면 합니다.
QUEST_LV_0400_20161212_000034	{nl}Woognis berada di Vilkas Nest, Jenonhas berada di Kainen Crossing.	{nl}우그니스는 빌카스의 서식지에서, 제노나스는 카이넨 나루터에 있습니다.
QUEST_LV_0400_20161212_000035	Whoa, kamu mengagetkanku!Kamu siapa?	으앗 깜짝이야, 누구십니까?
QUEST_LV_0400_20161212_000036	{nl}Situasi saat ini?{nl}Aku bahkan belum pergi mendekati area itu karena aku terlalu takut.	{nl}수색 상황이요?{nl}저는 지금 수색은 커녕 근처에 가는 것조차 무섭다구요.
QUEST_LV_0400_20161212_000037	{nl}Itu di sana terdapat sarang Vilkas, namun bagaimana aku bisa masuk ke sana.{nl}Aku tidak tahu, mungkin aku akan bisa ke sana bila aku menutup diriku dengan Vilkas fur…	{nl}저기가 바로 빌카스들의 주요 서식지인데, 어떻게 혼자 가요.{nl}빌카스의 털이라도 바를 수 있다면 모를까..
QUEST_LV_0400_20161212_000038	Kita akan berada dalam bahaya bila kita melawan Vilkas didekat sarangnya.{nl}Ada banyak Vilkas di Kyrba Lot.	서식지 근처에서 빌카스를 잡으면 오히려 우리가 위험해질 수 있죠.{nl}키르바 공터에도 이곳 못지 않게 빌카스가 많이 있어요.
QUEST_LV_0400_20161212_000039	{nl}Mengapa kita tidak mencoba untuk mengumpulkan Vilkas fur di sana.	{nl}그곳에서 빌카스의 털을 모으도록 하죠.
QUEST_LV_0400_20161212_000040	Ada banyak Vilkas di Kyrba Lot, seharusnya akan cukup mudah untuk mendapatkan bulu mereka ada.	키르바 공터에서 빌카스가 많으니 털을 모으는데 좀 수월할 겁니다.
QUEST_LV_0400_20161212_000041	Aku rasa kita bisa menipu mereka dengan menyerupai salah satu kawanan mereka dengan bulu sebanyak ini.	이 정도 양이면 몬스터들이 천적도 동료라고 생각할 거에요.
QUEST_LV_0400_20161212_000042	Aku ingin pergi mencari di sarang mereka dengan meyelubungi bulu ini ke seluruh tubuhku.{nl}Ini cukup besar sehingga aku tidak tahu berapa lama waktu yang dibutuhkan namun…	이제 빌카스의 털을 이용해서 녀석들의 굴을 수색해보려고 해요.{nl}서식지가 꽤 넓어서 수색하는데 조금 벅차기는 하지만..
QUEST_LV_0400_20161212_000043	Tidak ada alasan bagiku untuk menolak bantuanmu.{nl}Ayo kita pergi.	제 일을 돕겠다고 하시면 거절할 이유는 없죠.{nl}가시죠.
QUEST_LV_0400_20161212_000044	Tampaknya tidak ada Flechette di tempat yang ku cari.{nl}Apakah kamu menemukan sesuatu?	제가 확인한 곳에는 플레세트는 없어요.{nl}찾으신 거라도 있나요?
QUEST_LV_0400_20161212_000045	{nl}Ah ya...{nl}Tidak ada…	{nl}아 네..{nl}없었군요..
QUEST_LV_0400_20161212_000046	Jadi pencarian ku tidak menghasilkan apapun.{nl}Kamu mengatakan bahwa kamu sedang mengumpulkan laporan?	결국 제 수색 상황은 제자리 걸음이네요.{nl}스승님이 당신을 통해서 저희들의 수색 상황을 알고 싶다고 하셨죠?
QUEST_LV_0400_20161212_000047	{nl}Ada dua murid lainnya.{nl}Salah satunya adalah Aquilas dan yang lainnya adalah Jenonhas.	{nl}저 말고도 스승님은 2명의 제자를 더 두셨어요.{nl}한 명은 아퀼라스 다른 한 명은 제노나스에요.
QUEST_LV_0400_20161212_000048	{nl}Aquilas berada di jalan menuju Phamer Forest dan Jenonhas berada di Kainen Crossing.{nl}Kamu mengatakan bahwa kamu sudah bertemu Aquilas, jadi cobalah temui Jenonhas.	{nl}아퀼라스는 파마르 숲으로 향하는 길에 있고 제노나스는 카이넨 나루터에 있어요.{nl}아퀼라스는 이미 만나셨다고 하니.. 제노나스에게 가보세요.
QUEST_LV_0400_20161212_000049	Aku akan kembali setelah menyelesaikan urusanku di sini.	조금 마무리하고 스승님께 돌아갈 겁니다.
QUEST_LV_0400_20161212_000050	Jenonhas	제노나스
QUEST_LV_0400_20161212_000051	Terima kasih banyak.{nl}Aku tidak akan berhasil bila kamu tidak datang ke sini.	정말로 감사합니다. {nl}당신이 아니었다면 전 롬펠누카들에게 당했을 거예요.
QUEST_LV_0400_20161212_000052	Ya, benar.{nl}Aku mencari Flechette.	네 맞아요.{nl}플레세트를 찾고 있었어요.
QUEST_LV_0400_20161212_000053	{nl}Jika itu adalah sesuatu yang bisa ditemukan dengan mudah, orang-orang pasti telah diambil, bukankah begitu?{nl}Ini sia-sia.	{nl}그런데  이런 식으로 찾는다고 찾아질 물건이었으면 누군가 벌써 가져갔겠죠.{nl}정말 아무 소용이 없는 일이에요.
QUEST_LV_0400_20161212_000054	{nl}Bahkan ada demon di sini.{nl}Aku tidak mengerti perintah yang diberikan padaku kali ini.	{nl}심지어 마족이 있어 목숨까지 위험하다고요.{nl}스승님의 이번 지시는 이해가 안돼요.
QUEST_LV_0400_20161212_000055	{nl}Aku akan membicarakannya lagi nanti.	{nl}따지러 가야겠어요.
QUEST_LV_0400_20161212_000056	Semuanya kelelahan karena mereka mencari panah yang tampaknya tidak pernah ada.{nl}Terutama ada begitu banyak demon yang berkeliaran di sekitar…	어디에 있는지도 모르는 화살을 찾으라고 하니 다들 힘들었을 겁니다.{nl}더구나 마족이 이렇게 돌아다니는 곳에서..
QUEST_LV_0400_20161212_000057	{nl}Ini semua karena aku tidak cukup terampil.	{nl}모두 제가 부족한 탓입니다.
QUEST_LV_0400_20161212_000058	Fletcher Master pertama membuat Flechette untuk Lydia Schaffen.{nl}Tentu saja aku terpikir untuk menanyakannya ke Fletcher Master.	플레세트는 현재 플레처 마스터의 선조가 만들어 리디아 샤펜에게 주었습니다.{nl}저라고 플레처 마스터에게 말 해볼 생각을 안 해 봤겠습니까?
QUEST_LV_0400_20161212_000059	{nl}Tapi Fletcher Master dan anggota lain dari Astral Tower... Mereka tidak akan bicara kepadaku karena mereka merasa aku adalah pengkhianat.{nl}Itulah mengapa aku bahkan tidak melakukan hal itu.	{nl}하지만..플레처 마스터나.. 별의 탑 단원들은 절 배신자라 생각해 도와주지 않을 겁니다.{nl}그래서 기대도 하지 않고 있어요..
QUEST_LV_0400_20161212_000060	Tentu saja aku menghargai bantuan tapi...{nl}Aku yakin itu tidak akan memberikan banyak perubahan.	그렇게 나서 주시겠다면 감사한 일입니다만..{nl}청해봐도 소용없을 겁니다.
QUEST_LV_0400_20161212_000061	{nl}Jangan terlalu kecewa.{nl}Fletcher Master berada di Goddess' Ancient Garden.	{nl}그래도 너무 실망하지 마십시오.{nl}플레처 마스터는 여신의 옛뜰에 있습니다.
QUEST_LV_0400_20161212_000062	Fletcher Master	플레처 마스터
QUEST_LV_0400_20161212_000063	Kamu bilang bahwa Mechen memintamu untuk menemukan Flechette?{nl}Kamu masih datang menemuiku mengetahui orang seperti apa dia sebenarnya?	메켄이 플레세트를 찾도록 도와달라고 하셨소?{nl}그 자가 어떤 자인지 알고 내게 부탁하고 있는 거요?
QUEST_LV_0400_20161212_000064	{nl}Tentu saja aku terpikir untuk membantunya jika ia setuju untuk mengembalikan Flechette setelah menemukannya.{nl}Namun, ia akan menunjukkan jati dirinya setelah kami menemukan Flechette-nya.	{nl}그 자가 플레세트를 찾고 내게 돌려준다면 조금이라도 도와줄 의향이 있소. {nl}하지만 플레세트를 찾으면 분명 속내를 드러내 그것을 차지할 것이오.
QUEST_LV_0400_20161212_000065	Jika kamu mengatakannya, aku akan setuju untuk membantu.	그렇게까지 하겠다면 당신을 믿어 보겠소.
QUEST_LV_0400_20161212_000066	{nl}Ini adalah recipe untuk mendeteksi Flechette.{nl}Bawa ini ke Mechen.	{nl}여기 플레세트를 탐지할 수 있는 장치의 제작서요.{nl}이걸 가지고 메켄에게 가시오.
QUEST_LV_0400_20161212_000067	Goddess' Ancient Garden...{nl}Ini akan menjadi perjalanan yang panjang.	여신의 옛뜰입니다.{nl}먼 길이 되실 겁니다..
QUEST_LV_0400_20161212_000068	Ia memberimu recipe yang memungkinkan kita untuk membuat alat yang bisa mendeteksi Flechette?	플레세트를 탐지 할 수 장치를 만드는 방법이 적힌 제작서를 줬단 말입니까?
QUEST_LV_0400_20161212_000069	{nl}Bagaimana ia bisa memutuskan untuk membantu kita?	{nl}어떻게 그가 저를 도울 생각을 하게 된 거죠?
QUEST_LV_0400_20161212_000070	{nl}Ah... 	{nl}아.. 
QUEST_LV_0400_20161212_000071	{nl}Aku mengerti.{nl}Ia setuju untuk membantu kita dengan kondisi mencabut nyawaku bila aku tidak mengembalikan Flechette.	{nl}그렇군요.{nl}제가 플레세트를 내주지 않을 땐 제 목을 치겠다는 말을 듣고서야 돕겠다는 거군요.
QUEST_LV_0400_20161212_000072	{nl}Aku rasa itu tidak perlu.{nl}Aku melihat resep ini kemudian…	{nl}제 목을 쳐야 하는 상황은 없을 겁니다.{nl}그럼 저는 이 제작서를 좀 읽어보겠습니다.
QUEST_LV_0400_20161212_000073	Mechen merupakan orang yang mengangkat pemimpin sebelumnya untuk Astral Tower, saudaranya, akan diturunkan.	메켄은 별의 탑 단장이자 자신의 친형을 단장 자리에서 끌어내리는데 일등 공신을 한 인물이오.
QUEST_LV_0400_20161212_000074	{nl}Bagaimana bisa aku mempercayai orang seperti itu.	{nl}그런 인간을 어찌 믿겠소.
QUEST_LV_0400_20161212_000075	Dikatakan bahwa Flechette terbuat dari divine energy Goddess.{nl}Ia mengatakan bahwa kita harus memiliki energy dari para demon yang kuat karena akan saling bereaksi diantara energi itu.	플레세트는 여신의 신성력으로 만들어진 물건이라는군요.{nl}강력한 마족의 마력에 반응하니 마족의 마력이 필요하다고 제작서에 나와있습니다.
QUEST_LV_0400_20161212_000076	Aku khawatir kalau ia hanya membuat kita pergi dan menangkap demon.	제자들에게 마족의 마력을 구해오라고 지시를 했지만 잘해낼지 걱정입니다.
QUEST_LV_0400_20161212_000077	Kamu telah mengumpulkan begitu banyak.{nl}Sekarang apa yang kita butuhkan adalah…	꽤 많이 모아 주셨네요.{nl}그럼 이제 필요한 것은..
QUEST_LV_0400_20161212_000078	Recipe mengatakan bahwa kita butuh Vilkas essence untuk mengontrol demon's energy.	제작서에는 마족의 마력을 제어할 수 있는 빌카스의 정수가 필요하다고 적혀있습니다.
QUEST_LV_0400_20161212_000079	Muridku telah pergi ke lokasi lain untuk mengumpulkan Vilkas essence.{nl}Bisakah kamu pergi ke Kyrba Lot?	제자들은 각기 다른 장소로 가 빌카스의 정수를 모으고 있습니다.{nl}당신은 키르바 공터에서 빌카스의 정수를 모으면 됩니다.
QUEST_LV_0400_20161212_000080	Yang harus kamu lakukan ialah mengumpulkan Vilkas essence di Kyrba Lot.	키르바 공터에서 빌카스의 정수를 모아주시면 됩니다.
QUEST_LV_0400_20161212_000081	Kita telah mengumpulkan seluruh material yang dibutuhkan untuk membuat detektor.{nl}Aku akan mulai membuatnya.	탐지기를 만드는데 필요한 재료들은 모두 모였군요.{nl}그럼 탐지기를 만들어 보겠습니다.
QUEST_LV_0400_20161212_000082	Aku sudah selesai membuat detektor.{nl}Aku akan memberikannya kepada muridku untuk mencari dan menemukan Flechette.	탐지기가 완성됐습니다. {nl}플레세트를 찾도록 제자들에게 탐지기를 나눠 줄 겁니다.
QUEST_LV_0400_20161212_000083	{nl}Aku rasa ini akan membuatnya lebih mudah untuk menemukan Flechette.	{nl}이제 플레세트를 수색하는데 조금이나마 수월해지겠군요.
QUEST_LV_0400_20161212_000084	Jika kamu ingin ikut untuk mencari Flechette, silakan mulai dari Taylie Lot.{nl}Tempat-tempat lain akan dilakuakn oleh muridku.	플레세트를 찾는데 동참하시겠다면 테일리 공터에서 찾아주십시오.{nl}다른 곳은 제자들이 각각 흩어져서 수색할 테니까요.
QUEST_LV_0400_20161212_000085	{nl}Coba gunakan detektor di Taylie Lot di tempat yang mungkin kamu rasa terdapat Flechette{nl}Itu akan bereaksi jika ada Flechette didekatnya.	{nl}테일리 공터로 가셔서 플레세트가 있을 법한 예상 위치에 탐지기를 사용해 보십시오.{nl}플레세트가 근처에 있으면 반응이 있을 겁니다.
QUEST_LV_0400_20161212_000086	Pergi ke Taylie Lot dan cari Flechette.	테일리 공터로 가서 탐지기로 플레세트를 찾으십시오.
QUEST_LV_0400_20161212_000087	Ah, kau menemukan Flechette?{nl}Rasanya tidak disangka setelah seluruh waktu kita habiskan untuk mencarinya…	오, 플레세트를 찾으셨습니까?{nl}그렇게 찾아 다니던 시간이 허무할 정도로 금방 찾아오셨군요..
QUEST_LV_0400_20161212_000088	{nl}Tentu saja, tak satu pun dari kami adalah Revelator...{nl}Good job.	{nl}역시 계시자님이십니다.{nl}고생 많으셨습니다.
QUEST_LV_0400_20161212_000089	{nl}Sekarang saatnya untuk membawa Flechette ke Fletcher Master.	{nl}이제 플레세트를 플레쳐 마스터에게 전달해야겠지요.
QUEST_LV_0400_20161212_000090	Harap berhati-hati.{nl}Aku harap ini akan bisa membantu menyelesaikan kesalahpahaman diantara kami.	잘 전해주십시오.{nl}이렇게 해서 플래쳐 마스터의 오해만이라도 풀렸으면 좋겠습니다.
QUEST_LV_0400_20161212_000091	Ini... ini adalah Flechette yang diciptakan oleh pendahuluku.{nl}Aku tidak menyangka Mechen akan memberikannya dengan mudah.	이건..선조께서 만드신 플레세트가 맞소.{nl}메켄이 이렇게 순순히 내줄지는 몰랐소.
QUEST_LV_0400_20161212_000092	{nl}Hmm...{nl}Ambil ini.{nl}Katakan padanya bahwa ini adalah semacam reward karena menemukan Flechette untukku.	{nl}흠..{nl}이걸 가져 가시오.{nl}나를 대신해 그가 플레세트를 찾아 준거에 대한 보상이라 생각하라고 전해 주시고.
QUEST_LV_0400_20161212_000093	{nl}Aku tidak tahu seberapa besar itu akan berguna untuknya...{nl}Namun setidaknya orang-orang akan tahu seberapa besar perjuangan yang ia lewati untuk menemukan Flechette.	{nl}떨어졌다고 하는 그의 명예를 얼마나 회복시켜 줄 지는 모르겠지만..{nl}플레세트를 찾아 헤맨 정성 정도는 다들 알아 줄 거요.
QUEST_LV_0400_20161212_000094	Janji adalah janji, aku akan mengatasinya.	약속은 약속이니, 일단 돌려드려야지요.
QUEST_LV_0400_20161212_000095	Ini... itu adalah Arrow of Proof yang dibuat oleh Fletcher Master...{nl}Aku berharap orang-orang akan mendengarkanku sedikit lebih banyak bila aku memiliki ini.	이건..플레쳐 마스터가 만든 증명의 화살이군요..{nl}이거면 다들 제 진심을 조금은 알아 줄 겁니다.
QUEST_LV_0400_20161212_000096	Ini akan membantu Mechen memulihkan kehormatannya.	그것으로 어느 정도 메켄의 명예는 회복이 될 거요.
QUEST_LV_0400_20161212_000097	Halo.	여행자님이십니까.
QUEST_LV_0400_20161212_000098	{nl}Kami adalah murid dari Maven.{nl}Kami menulis ulang kesalahpahaman yang telah tersebar mengenai insiden Ruklys di Monument ini.	{nl}저희는 메이번님의 제자들입니다.{nl}루클리스에 관해 왜곡되어 적힌 카듀멜 선왕의 기념비를 수정하는 일을 하고 있습니다.
QUEST_LV_0400_20161212_000099	{nl}Ini hampir hancur karena perbuatan King Kadumel.{nl}Namun, King Barynwell memutuskan untuk mengcasting magic agar membuatnya tidak terbaca.	{nl}사실, 카듀멜 선왕의 행적 때문에 이 기념비들은 파괴될 뻔 했죠.{nl}하지만 바린웰 국왕께서는 기념비들을 파괴하는 대신, 변형 마법을 걸어 읽지 못하게 만들었습니다.
QUEST_LV_0400_20161212_000100	{nl}Kami sedang bersiap untuk melepaskan magic-nya dan mengkoreksinya.{nl}Para monster akan menghentikan kita untuk melakukannya.	{nl}저희는 변형 마법을 풀고 기념비를 수정하기 위해서 여러 준비를 하고 있습니다.{nl}그러나 몬스터의 습격으로 모두 허사가 될 수 있는 상황에 왔습니다.{nl}
QUEST_LV_0400_20161212_000101	Dengan senang hati kami akan menerima bantuan yang kamu tawarkan kepada kami.	도와주시겠다니 염치불구하고 부탁을 드리겠습니다.
QUEST_LV_0400_20161212_000102	{nl}Pertama-tama, kita harus menemukan dokumen.{nl}Dokumen-dokumen ini berisi petunjuk mengenai cara untuk menghilangkan transfigurasi, magic namun dokumen itu tersebar karena serangan para monster.	{nl}일단, 문서를 찾아야 합니다.{nl}변형 마법을 풀 수 있는 방법이 적힌 문서인데, 몬스터의 습격으로 흩어지고 말았습니다.
QUEST_LV_0400_20161212_000103	{nl}Kami akan berhati-hati dalam melangkah karena kami tidak ingin memprovokasi para monster untuk menyerang lagi.	{nl}문서를 찾으려고 해도 언제 또 몬스터가 습격을 해 올 지 몰라 이렇게 소극적으로 움직이고 있습니다.
QUEST_LV_0400_20161212_000104	{nl}Tolong coba cari di Othorove Lot terlebih dahulu.	{nl}오소로브 공터를 먼저 찾아 봐 주십시오.
QUEST_LV_0400_20161212_000105	Kami memerlukan dokumen-dokumen itu untuk menghilangkan magic dan memperbaiki informasi di Monumen ini.	그 문서가 있어야 변형 마법을 풀고 기념비의 내용을 수정할 수 있습니다.
QUEST_LV_0400_20161212_000106	Aku mengerti, semua itu sudah tersebar seperti ini.{nl}Terima kasih telah mengumpulkan semua halamannya.	그렇게 모두 낱장으로 흩어져 있었군요.{nl}모두 모아다 주셔서 감사합니다.
QUEST_LV_0400_20161212_000107	{nl}Sekarang...	{nl}그럼 이제..
QUEST_LV_0400_20161212_000108	Kita harus menemukan orb untuk menghilangkan magic-nya.{nl}Orb akan cepat habis sehingga kita juga harus melakukan recharging orb.	변형 마법을 풀 수 있는 보주를 찾아야 합니다. {nl}이 보주는 금방 방전되기 때문에 보주를 충전할 수 있는 활력의 구를 같이 챙겼죠.
QUEST_LV_0400_20161212_000109	Orb itu akan menyerap energi dari recharging orb.{nl}Oleh karena itu, Kamu pasti bisa menemukan di mana orb itu dengan membawa ini bersamamu.	보주는 활력의 구에서 나오는 마력을 흡수합니다.{nl}그러니 활력의 구를 활용하면 보주들이 있는 곳을 알 수 있습니다.
QUEST_LV_0400_20161212_000110	Recharging orb akan mengeluarkan magic ketika diaktifkan.{nl}Magic akan menuju ke arah orb karena itu akan menyerapnya dan akan bersinar setelahnya.	활력의 구를 사용하시면 구 안에서 마력이 나올 겁니다. {nl}마력은 보주가 있는 곳으로 흘러갈 것이고 보주는 마력을 흡수 할 때 빛 날 것입니다.
QUEST_LV_0400_20161212_000111	{nl}Yang harus kamu lakukan ialah menemukan orb itu.	{nl}빛이 나는 장소에 가 보주를 찾으시면 됩니다.
QUEST_LV_0400_20161212_000112	Magic akan keluar dari recharging orb ketika diaktifkan.{nl}Kamu akan dapat menemukan orb itu jika kamu mengikutinya.	활력의 구를 사용하면 마력이 흘러나올 겁니다. {nl}그 마력을 따라가시면 보주가 있을 겁니다.
QUEST_LV_0400_20161212_000113	Oh, terima kasih banyak!{nl}Sekarang kita memiliki orb-nya…	오, 정말 감사합니다.{nl}이제 보주까지 모두 가져오셨으니..
QUEST_LV_0400_20161212_000114	Kami telah menyelesaikan semua persiapan yang diperlukan untuk menghilangkan magic di King Kadumel's Monument.	카듀멜 국왕의 기념비에 걸린 변형 마법을 풀 수 있는 준비는 모두 마쳤습니다.
QUEST_LV_0400_20161212_000115	Kamu telah mengatasi Gosal?{nl}Aku tidak percaya kalau kamu mengatasinya sendirian sedangkan kami bertiga…	고살을 처치하고 오셨다고요?{nl}저희가 모두 사제이긴 해도, 셋이서 쩔쩔매던 녀석을 처치하시다니..
