QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000055	Aku tidak tahu harus berbuat apa. {nl}Apakah kamu sudah mendengar kabar?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?
QUEST_20150317_000056	Kami dikirim oleh kerajaan untuk menginvestigasi kejadian aneh yang ada di hutan.  {nl} Para saksi bilang mereka melihat wajah raksasa dengan jari yang besar  {nl} Kira-kira apa itu?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?
QUEST_20150317_000057	Dulu, para peziarah sering melewati hutan ini. {nl}Tetapi, sekarang, yang ada hanya monster.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.
QUEST_20150317_000058	4 tahun yang lalu, para Goddess sering menampakkan diri mereka dari waktu ke waktu.  {nl} Tapi sekarang, mereka tidak pernah muncul meskipun kita sering berdoa.  {nl} Apakah mereka mengabaikan kita?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?
QUEST_20150317_000059	Vecenin mengurus banyak tugas dengan pergi dari satu daerah ke daerah lainnya.  {nl} Dia bilang sangat tidak efektif jika hanya tinggal di satu kota.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.
QUEST_20150317_000060	Apakah kamu pernah berpikir untuk tinggal terus di sini atau menjadi prajurit?  {nl} Dengan senang hati aku akan merekomendasikanmu ke head commander.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.
QUEST_20150317_000061	Tetap siaga. Kamu tidak akan tahu kapan dan dimana monster datang menyerang.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.
QUEST_20150317_000062	Aku membayangkan dimana Goddess Zemyna berada..	제미나 여신께선 도대체 어디로 가셨는지..
QUEST_20150317_000063	Sebenarnya ini apa ya?	이게 다 도대체 뭐랍니까.
QUEST_20150317_000064	Sepertinya The Goddess of Earth - Zemyna akan sangat sedih dibandingkan siapapun.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.
QUEST_20150317_000065	Pokubu sudah berada di sini sejak lama.  {nl} Namun monster yang tidak jelas juga muncul di sekitarnya.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.
QUEST_20150317_000066	Aku berpikir tentang itu. Para Goddess telah mengabaikan kita. {nl}Jika tidak, pasti tidak ada monster sebanyak itu.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.
QUEST_20150317_000067	Aku dengar ada orang yang tinggal di hutan dekat sini yang menerima kekuatan dari Goddess..	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..
QUEST_20150317_000068	Aku ingin kembali ke kampung halamanku.	고향으로 돌아가고 싶습니다.
QUEST_20150317_000069	Jumlah dari monster sepertinya tidak berkurang walau sudah kita bunuh.	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.
QUEST_20150317_000070	Savior, Apakah Julian yang mengirimmu?	계시자라니, 줄리안이 보낸 거요?
QUEST_20150317_000071	Tidak mungkin. {nl}Kamu adalah orang pertama yang aku temui setelah beberapa tahun di hutan ini. {nl}	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}
QUEST_20150317_000072	Aku akan menunjukkan apa yang aku lihat.	제가 본 것을 보여드릴게요.
QUEST_20150317_000073	Pergilah dan jangan hiraukan diriku. {nl}Ah, bunga-bunga yang indah mulai muncul.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.
QUEST_20150317_000074	Lena	레나
QUEST_20150317_000075	Ceritakan aku tentang pengalamanmu.  {nl} Seperti kata Vivora, kami mencatat semua yang terjadi didunia.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.
QUEST_20150317_000076	Henryka	헤느리카
QUEST_20150317_000077	Halo. Ini adalah Magical Association's cabang Klaipeda.  {nl} Kami mempelajari hal misterius yang terjadi ketika spesial item dikombinasikan.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.
QUEST_20150317_000078	Hanya ada uap dan Vubbes di sini.  {nl} Sesosok wajah besar muncul.. Kira-kira apa ya?	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?
QUEST_20150317_000079	Aku harus menyadarkan diri. {nl} Dunia belum berakhir.. Bukan begitu?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?
QUEST_20150317_000080	Saat kebaikan berlanjut, orang percaya akan mendapat kebaikan. {nl}Mungkin fakta yang ada jika kita terlalu bergantung kepada Goddess juga tidak baik bagi kita.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.
QUEST_20150317_000081	Bulletin Board	알림판
QUEST_20150317_000082	Selamat datang di kota Tambang Klaipeda!	천혜의 광산도시 클라페다에 오신 것을 환영합니다!
QUEST_20150317_000083	Indifferent Widow	담담한 미망인
QUEST_20150317_000084	Aku tidak tahu alasannya  {nl} Tetapi satu hal yang pasti bahwa para Goddess tidak menghilang secara bersamaan.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.
QUEST_20150317_000085	Goddess pertama yang menghilang adalah Goddess Gabija.  {nl} Aku mendengar hal itu sejak lama.  {nl} Lalu setelah itu, satu per satu Goddess lain mulai tidak merespon.  {nl}	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}
QUEST_20150317_000086	Goddess Vakarine telah menghilang sebelum Divine Day. {nl}Zemyna dan Ausrine adalah yang terakhir namun juga menghilang. {nl}Semua terjadi empat tahun lalu. {nl}	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}
QUEST_20150317_000087	Itu benar. Goddess Laima itu yang paling ganjil.  {nl} Tidak ada yang tahu kapan dia menghilang.  {nl}	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}
QUEST_20150317_000088	Bukankah Goddess Laima adalah Goddess dari takdir dan kebijaksanaan?  {nl} Harusnya dia tahu semua yang akan terjadi ya kan?	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?
QUEST_20150317_000089	Resting Soldier	휴식중인 병사
QUEST_20150317_000090	Dulu aku juga seorang petualang seperti dirimu, namun setelah aku terkena panah itu.. {nl}	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}
QUEST_20150317_000091	Itu tidak penting. Hadapi aku monster!	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}
QUEST_20150317_000092	Para Goddess ada di dalam mimpiku.. {nl}Itu sangat mempesona..	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}
QUEST_20150317_000093	Aku mempunyai tugas untuk melindungi kerajaan ini. Itulah mengapa aku ada di sini.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.
QUEST_20150317_000094	Uska adalah kawan lamaku.  {nl}	우스카라면 제 오랜 친구였지요.{nl}
QUEST_20150317_000095	Kami menjalani ujian menjadi knights bersama, dan Uska menjadi seperti sekarang karena bantuanku. {nl}Ha ha, Masa lalu yang menyenangkan..Aku merindukanmu Uska!	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!
QUEST_20150317_000096	Jangan terlalu mempercayai perkataannya. {nl}Dia dikenal sebagai penipu ulung di desa kami.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}
QUEST_20150317_000097	Aku? Aku hanya meninggalkanya karena itu menyenangkan.	저요? 그냥 재밌으니까 내버려 두는 거지요.
QUEST_20150317_000098	Umm.. Aku tarik perkataanku untuk tidak mempercayainya. {nl}	음.. 너무 믿지 말란 말 취소하지요.{nl}
QUEST_20150317_000099	Semua yang dia katakan adalah bohong, jangan mempercayainya.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.
QUEST_20150317_000100	Siauliai Guard	샤울레이 경비병
QUEST_20150317_000101	Di luar batas ini terdapat banyak monster, berhati-hatilah.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.
QUEST_20150317_000102	Tempat ini tidak begitu damai tapi setidaknya lebih baik daripada daerah lain.  {nl} Di hutan lain, tidak ada orang, yang ada hanya spirit berterbangan.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.
QUEST_20150317_000103	Orang-orang sepertimu yang bermimpi tentang Goddess, kami menyebutnya Savior.  {nl}	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}
QUEST_20150317_000104	Pertama kali aku pikir para Savior itu gila.  {nl} Itu mulai terjadi semenjak para Goddess menghilang.  {nl}	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}
QUEST_20150317_000105	Setelah semua itu, mereka tidak pernah menjawab kami sejak 4 tahun lalu.	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?
QUEST_20150317_000106	Master dari tiap class berada diseluruh penjuru kerajaan.  {nl} Kenapa kamu tidak mencoba belajar dari mereka?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?
QUEST_20150317_000107	Kamu tidak tahu Medzio Diena? Kamu pasti baru di area ini.  {nl} Itu adalah hari dimana divine monument di kota bagian tengah mulai kacau.  {nl}	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}
QUEST_20150317_000108	Itu adalah bencana yang membuat penduduk terluka dan mati.  {nl} Bahkan monster yang baik menjadi jahat dan muncul monster lainnya.  {nl}	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}
QUEST_20150317_000109	Pergilah ke Klaipeda jika kamu penasaran yang terjadi dengan Divine Tree 4 tahun lalu.  {nl} Banyak korban selamat pergi ke sana.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.
QUEST_20150317_000110	Easter Woods Sentinel	동쪽 숲 경계병
QUEST_20150317_000111	Apa kamu mencoba masuk ke Easter Woods? {nl}Jangan pernah ke sana. Terlalu berbahaya! {nl}	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}
QUEST_20150317_000112	Uh, Mereka sangat keras kepala..!!	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!
QUEST_20150317_000113	Teriakan ini... Kita diserang!	이 비명소리는.. 습격입니다!
QUEST_20150317_000114	Peraturan keamanan	안전 수칙
QUEST_20150317_000115	1. Hanya personil yang terdaftar yang bisa masuk.  {nl} 2. Hanya boleh melewati jalur yang di berikan Mine Manager.  {nl}	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}
QUEST_20150317_000116	3. Jangan memasuki daerah terlarang.  {nl} 4. Laporkan orang yang mencoba masuk ke Mine tanpa ijin ke Klaipeda Knight Templars.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.
QUEST_20150317_000117	Supply Base Soldier	보급기지 병사
QUEST_20150317_000118	Aku belum terbiasa dengan pertempuran nyata jadi aku agak sedikit gugup.	실전에 익숙하지 않아 긴장됩니다.
QUEST_20150317_000119	Farm Sentinel	농장 경계병
QUEST_20150317_000120	Temanku sedang bertempur di Miner's Village. {nl}Aku ingin membantunya, tapi East Forest juga sedang dalam masalah sehingga aku khawatir.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.
QUEST_20150317_000121	Aku pikir aku sudah melihat semua macam monster dalam hidupku.  {nl} Tapi ternyata itu hanya Vubbe.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.
QUEST_20150317_000122	Chupacabra suka tinggal di dekat sungai dan daerah subur di arah utara.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.
QUEST_20150317_000123	Klaipeda Guard Captain	클라페다 경비병 대장
QUEST_20150317_000124	Kamu adalah..	당신이 바로..
QUEST_20150317_000125	Aku dengar mereka terlihat di bagian dalam hutan atas.  {nl} Agar lebih aman, jangan mengusik mereka terlebih dahulu.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.
QUEST_20150317_000126	Kamu tidak memiliki item untuk melanjutkan quest. Apakah kamu ingin melanjutkan setelah membuat item?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?
QUEST_20150317_000127	Klaipeda Girl	클라페다 소녀
QUEST_20150317_000128	Pria itu adalah tetanggaku dan dulunya seorang monster hunter.  {nl} Tapi sekarang sudah berhenti karena monsternya semakin beringas dan berbahaya.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.
QUEST_20150317_000129	Aku harap kemunculan savior adalah pertanda dari kembalinya Goddess.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.
QUEST_20150317_000130	Hanya bergantung pada Goddess adalah hal yang bodoh,  {nl}namun lebih baik daripada tidak bergantung pada apapun.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.
QUEST_20150317_000131	Klaipeda Madam	클라페다 귀부인
QUEST_20150317_000132	Tanaman masih bisa tumbuh di tanah ini dan kita masih diberikan kehangatan di dalam rumah. {nl}Aku percaya bahwa Goddess masih ada di suatu tempat di dunia ini.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.
QUEST_20150317_000133	Tetaplah berdoa.  {nl} Agar Goddess mengirimkan seseorang untuk menyelamatkan kita.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.
QUEST_20150317_000134	Hoplite Master	하플라이트 마스터
QUEST_20150317_000135	Jika sword adalah lambang kekuasaan, maka spear adalah senjata untuk menghancurkan.  {nl} Kekuasaan dan senjata. Yang mana pilihanmu jika berada di medan pertempuran?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?
QUEST_20150317_000136	Machine Worker	기계 제작 장인
QUEST_20150317_000137	Meskipun dunia sedang kacau, aku tidak bisa bersantai. {nl}Empat tahun telah berlalu, jadi kita harus tenang dan mulai dari awal.	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?
QUEST_20150317_000138	Mining adalah mata pencaharian utama di Klaipeda.  {nl} Jika kita berhenti bekerja karena Divine Day, kita harus tetap bekerja dengan mengukir kayu.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.
QUEST_20150317_000139	Pamanku bilang, kamu harus teliti saat bertualang.  {nl} Terkadang, jika kamu beruntung, kamu bisa menemukan treasure chests disekitar. Kira-kira siapa yang membawanya ya?	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?
QUEST_20150317_000140	Retired Hunter	은퇴한 사냥꾼
QUEST_20150317_000141	Aku melihat para prajurit bertarung melawan monster besar di Deep Canyon. {nl}Aku sangat kaget mereka dapat mengalahkan monster itu, tapi aku lebih terkejut dengan hadiah yang mereka dapatkan.	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.
QUEST_20150317_000142	Old Potter	도자기 빚는 노인
QUEST_20150317_000143	Aku menaruh harapan di setiap tembikar yang aku panggang. {nl}Aku melakukan ini, agar berkat dari Goddess diberikan secara penuh.	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.
QUEST_20150317_000144	Class Swordsman mengutamakan Strength.  {nl} Tapi kamu juga bisa menguasai Agility atau Constitution.  {nl} Kamu harus menitik beratkan pada pilihan yang kamu inginkan.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.
QUEST_20150317_000145	ClassWizard mengutamakan Intelligence.  {nl} Namun kamu juga tidak boleh melupakan Spirit jika kamu ingin bisa menggunakan banyak magic.  {nl} Pilihlah dengan bijak antara keseimbangan dan fokus pada serangan.  {nl}	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}
