QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150317_000033	Kami selalu berada di tempat ini, tetapi dimanakah Goddess kami yang selalu mengkhawatirkan kami?	우리는 항상 이곳에 있지만, 우리를 걱정하시는 여신께서는 어디 계시지?
QUEST_LV_0200_20150317_000034	Apakah keberadaan kami hanya untuk jiwa manusia?	우리는 인간의 영혼을 위해서만 존재하는 걸까?
QUEST_LV_0200_20150317_000035	Soldier Dominic	병사 도미니크
QUEST_LV_0200_20150317_000036	Aku telah diperintahkan untuk melindungi tempat ini dengan mempertaruhkan nyawa Aku dan secara bersamaan melakukan beberapa pengintaian. {nl} Aku tidak mengetahui secara pasti apa yang mereka inginkan dariku.	자리를 사수하라는 명령과 정찰 명령이 동시에 내려왔습니다.{nl}도대체 어떻게 하라는 건지 모르겠네요.
QUEST_LV_0200_20150317_000037	Selanjutnya aku harus memastikannya apa yang sebenarnya sedang mereka inginkan dariku. {nl} tidakkah akan lebih baik jika bertanya kepada Julian?	다음엔 어느 쪽이던 좋으니까 소속을 확실히 정해 달라고 꼭 말해야겠어요.{nl}아니다. 줄리안님 쪽이 더 나으려나?
QUEST_LV_0200_20150317_000038	Jika hanya monster dengan tingkat seperti itu, Aku rasa Aku bisa melaporkan bahwa tidak ada masalah yang serius. {nl} Oh, jika kamu bertemu dengan Samson, tolong katakan kepadanya untuk berhenti mengulur waktu dan terus melanjutkan pengintaian.	그 정도 몬스터라면 별 문제는 없다고 보고 해도 되겠네요.{nl}참, 혹시 샘슨을 본다면 그만 놀고 정찰이나 하라고 전해주십시오.
QUEST_LV_0200_20150317_000039	Aku akan melindungi area ini, untuk itu Aku akan berpatroli ke Veltui Crossroads. {nl} Untuk laporan, Aku akan membuatnya secara terpisah di lain waktu.	전 여길 지킬 테니까 벨투이 교차로까지 순찰을 나가 주십시오.{nl}보고는 나중에 내가 따로따로 하지요.
QUEST_LV_0200_20150317_000040	Soldier Samson	병사 샘슨
QUEST_LV_0200_20150317_000041	Bisakah Kamu membantu Aku untuk menemukan Dominic's Engagement Ring? {nl} Saat ini Aku sedang menjalankan sebuah misi, jadi tidak bisa meninggalkan tempat ini.	도미니크의 약혼반지를 찾아주세요.{nl}전 임무수행중이라 자리를 비울 수가 없습니다.
QUEST_LV_0200_20150317_000042	Aku akan memberitahumu, dia bersikap seperti itu meskipun aku telah membelikan yang benar-benar menyerupainya. Dasar pelit..	대충 비슷한 걸로 사다 줬는데도 저런다니까요?{nl}쪼잔하긴.
QUEST_LV_0200_20150317_000043	Benda jelek apa ini? Oh, mungkin cincinnya berada di dalamnya?	이 더러운건 뭐지요?{nl}어라, 안에 반지가 든 건가?
QUEST_LV_0200_20150317_000044	Pisau tidak akan muat masuk kedalam, dan tidak ada cara lain untuk mengeluarkannya. {nl} Oh benar juga! Bukankah kita bisa membakarnya hingga menjadi abu untuk mengambil apa yang ada di dalamnya?	칼이 들어가지도 않고 꺼낼 방법이 없네요.{nl}그렇지. 불로 태워버리면 꺼낼 수 있지 않을까요?
QUEST_LV_0200_20150317_000045	Hanya memastikan untuk membawakannya kepadaku benda itu yang tidak terlalu tebal. 	이왕이면 굵지 않은 걸로 가져다 주십시오.
QUEST_LV_0200_20150317_000046	Ini seharusnya bisa. {nl} Baiklah. Sekarang, bagaimana cara membakarnya agar ketika Aku bekerja, Aku tidak tertangkap?	이 정도면 적당하군요.{nl}좋아. 이걸 어떻게 근무 중에 들키지 않고 태울까나.
QUEST_LV_0200_20150317_000047	Seharusnya ada banyak Dry Thorn Forest Wood di tepi Ishisineti Cliff. {nl} Aku sedang berpatroli dan tidak mempunyai banyak waktu, jadi aku memintamu untuk membantuku kembali.	이쉬시네티 벼랑에 마른 가시 나무가 잔뜩 있을 겁니다.{nl}전 경계 임무 때문에 자리를 비울 수 없으니 이번에도 부탁합니다.
QUEST_LV_0200_20150317_000048	Ah, Kamu seharusnya bisa membakarnya secara diam-diam di atas Ishisineti Cliff. {nl} Ini adalah permintaan terakhir Aku. Kamu hanya perlu membuat persiapan untuk membuat api.	아, 이쉬시네티 벼랑 위쪽이면 몰래 태울 수 있을 겁니다.{nl}제 마지막 부탁입니다. 불 피울 준비만 해 주시면 됩니다.
QUEST_LV_0200_20150317_000049	Aku tidak akan pernah lagi peduli mengenai upacara pernikahan orang lain.	다신 절대로 남의 결혼식엔 상관 안할 겁니다.
QUEST_LV_0200_20150317_000050	Aku hanya ingin memberitahu aku ingin pergi ke kamar mandi dan membakarnya secara diam-diam di sana. {nl} Terima kasih banyak.	화장실 간다고 하고 몰래 태우지요.{nl}정말 고맙습니다.
QUEST_LV_0200_20150317_000051	Soldier Poulter	병사 폴터
QUEST_LV_0200_20150317_000052	Oh Tuhan, Isi Perintah adalah untuk menghabisi seluruh monster yang berada di area ini! {nl} Bagaimana caranya Aku bisa menangani begitu banyaknya musuh sendirian?	세상에, 명령서엔 이 근처 몬스터를 다 제거하라는군요.{nl}어떻게 저 혼자 이 많은 수를 감당하죠?
QUEST_LV_0200_20150317_000053	Tugas ini terlalu berat untuk aku lakukan sendiri. {nl} Namun, Aku merasa beruntung karena dirimu telah memutuskan untuk membantuku.	저 혼자서 하긴 너무 버거웠어요.{nl}하지만 당신이 도와주신다니 정말 다행이네요.
QUEST_LV_0200_20150317_000054	Aku hampir menangis dan mengeluarkan air mata! {nl} Terima kasih banyak atas bantuanmu.	정말 눈물 날 뻔했어요.{nl}도움을 주셔서 정말 감사합니다.
QUEST_LV_0200_20150317_000055	Commander Julian	지휘관 줄리안
QUEST_LV_0200_20150317_000056	Terima kasih telah membantu! {nl} Jika Kamu tidak keberatan, Aku ingin meminjam kekuatanmu kembali. {nl}	정말 고맙군.{nl}괜찮다면, 자네의 힘을 좀 더 빌리고 싶네.{nl}
QUEST_LV_0200_20150317_000057	Maukah kamu membantu Pasukan Commander O'Rourke di Veltui Crossroads?	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?
QUEST_LV_0200_20150317_000058	Commander O'Rourke	지휘관 오루크
QUEST_LV_0200_20150317_000059	Sangat mengesankan.{nl}Sepertinya aku akan membelikan Julian minuman.	엄청난 실력이군.{nl}이거 줄리안에게 한잔 사야겠어.
QUEST_LV_0200_20150317_000060	Hal ini terlitas di benakku ketika melihat Ironbaum. {nl} Akan menjadi rekan yang luar biasa seperti apakah nantinya	아이언바움을 지켜보면서 든 생각인데. {nl}그 친구 참 대단한 친구야.
QUEST_LV_0200_20150317_000061	Pasukan O'Rourke sudah cukup kelelahan setelah melalui berbagai pertempuran melawan Ironbaum. {nl} Akan sangat membantu jika kamu bisa menjadi kekuatan kami.	오루크 부대는 아이언바움과의 크고 작은 전투로 지쳐 있네.{nl}자네가 힘이 되어 준다면 아주 든든할 걸세.
QUEST_LV_0200_20150317_000062	Substitute Owl Sculpture	떠나가는 부엉이 조각상
QUEST_LV_0200_20150317_000063	Aku ingin membantu memurnikan Thorny Forest, tapi aku sangat lemah. Bisakah kamu mengalahkan Tree Ghouls yang mengganggu para prajurit?	가시숲을 정화해 주는 병사들을 돕고 싶은데 제겐 그럴 힘이 없어 안타까워요.{nl}트리굴이라도 처치해 주실 수 있을까요?
QUEST_LV_0200_20150317_000064	Akan lebih menyenangkan jika lebih banyak orang yang datang dan pergi menggunakan jalan ini seperti dahulu. {nl} Aku bertemu dengan orang-orang yang sangat menyenangkan.	예전처럼 이 길을 오가는 사람들이 많아졌으면 좋겠어요.{nl}사람들은 정말 재밌거든요.
QUEST_LV_0200_20150317_000065	Terima kasih. Semoga aku tidak memberikan kesulitan kepadamu dari semua aspirasi yang aku inginkan.	고마워요. 괜히 제 바램 때문에 고생하시네요.
QUEST_LV_0200_20150317_000066	Baiklah. Kami belum menerima kabar apapun dari pasukan kami yang berada di Niurus Highway. {nl} Aku mohon kepadamu untuk menemui mereka.	좋소. 니우러스 가도에서 우리 부대원들의 소식이 끊겼소.{nl}그들의 수색을 부탁하오.
QUEST_LV_0200_20150317_000067	Bila Kamu tidak menemukan mereka, kembalilah segera.	만약 찾아봐도 그들이 없다면, 일단은 그냥 돌아오시오.
QUEST_LV_0200_20150317_000068	Soldier Kallus	병사 칼루스
QUEST_LV_0200_20150317_000069	Masih ada beberapa rekan-rekan kami yang berada di dalam sana. {nl} Tolong bantu kami.	아직 안쪽에 동료들이 많습니다.{nl}지원을 부탁드립니다.
QUEST_LV_0200_20150317_000070	Soldier Dainus	병사 다이뉴스
QUEST_LV_0200_20150317_000071	Ironbaum menyerang kami di Drieza Waterland.{nl} Masih banyak prajurit yang belum berhasil kabur dari sana.{nl}	드리에자 습지에서 아이언바움이 공격해왔습니다.{nl}아직 도망치지 못한 대원들도 있다고요.{nl}
QUEST_LV_0200_20150317_000072	Aku merasa malu karena melarikan diri.{nl}	혼자 도망쳐 나온 게 정말 부끄럽습니다.{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Sculpture	정착한 부엉이 조각상
QUEST_LV_0200_20150317_000074	Aku punya suatu permintaan kepadamu. {nl} Aku khawatir mengenai para prajurit yang menderita sakit karena Ravinelarvae.	부탁드리고 싶은 게 있어요.{nl}병사들이 러바인러바때문에 고생하는 게 너무 안타까워요.
QUEST_LV_0200_20150317_000075	Terima kasih.{nl} Mulai sekarang, dapatkah prajurit kita bisa bekerja dengan nyaman?	감사해요.{nl}이제 병사들이 편하게 작업할 수 있겠죠?
QUEST_LV_0200_20150317_000076	Aku sangat menghargai bantuanmu.{nl} Suatu hari nanti, Aku akan membalas budi ini saat bertemu denganmu.	따뜻한 도움 정말 감사드려요.{nl}나중에 영혼이 되어 만나게 되면 그 땐 정말 잘해드릴게요.
QUEST_LV_0200_20150317_000077	Apakah kamu Savior yang terkenal itu? {nl} Oh Syukurlah, Aku sedang bingung saat ini, Aku membutuhkan bantuanmu.	자넨 그 유명한 계시자 아닌가.{nl}이거 참 난처했는데 잘 됐군. 자네의 도움이 필요해.
QUEST_LV_0200_20150317_000078	Ah, sekarang Aku sudah menerima perintahnya.{nl} Kembalilah kepada Commander Julian.	아, 이제야 명령서가 왔군요.{nl}지휘관 줄리안님께 돌아가 보십시오. 
QUEST_LV_0200_20150317_000079	Aku mengumpulkan informasi tentang Ironbaum. {nl} Untuk mencapai Gateway of the Great King, kita harus mengalahkan moster ini terlebih dahulu.	난 아이언바움에 대한 정보를 모으고 있겠네.{nl}대왕의 관문으로 가는 길을 뚫으려면 이 놈을 퇴치하는 게 우선순위지.
QUEST_LV_0200_20150317_000080	Terima kasih. {nl} Kembalilah setelah membawa perintah ini kepada Poulter di Zaizda Hill.	그래 말해주니 정말 고맙군.{nl}자이즈다 언덕에 있는 폴터에게 이 명령서를 가져다주고 다시 돌아오게.
QUEST_LV_0200_20150317_000081	Mengingatkan Aku akan masa lalu.{nl} Ketika tidak ada Thorns.	예전이 정말 그리워요.{nl}가시나무같은 건 없었거든요.
QUEST_LV_0200_20150317_000082	Jika jalan menuju Gateway of the Great King aman maka Aku akan dapat melihat lebih banyak orang. {nl}	대왕의 관문까지 가는 길이 안전해지만 사람들도 많이 구경할 수 있겠지요.{nl}
QUEST_LV_0200_20150317_000083	Secara keseluruhan, Aku sudah melihat semuanya. {nl} Sekarang, Aku hanya ingin melihat kebahagiaan.	너무 오랫동안 많은 것을 보아왔어요.{nl}이젠 즐거운 것만 보고 싶네요.
QUEST_LV_0200_20150317_000084	Mengapa jiwa manusia mengandung begitu banyak hal ?.	인간의 영혼은 왜 그리 많은 것을 품고 있을까요?
QUEST_LV_0200_20150317_000085	Jika kita bertemu dengan para monster, kita tidak akan punya pilihan selain untuk melawannya.	이러다 몬스터라도 잔뜩 나타나면 답이 없을 겁니다.
QUEST_LV_0200_20150317_000086	Kami sedang berupaya untuk mencapai Gateway of the Great King. {nl} Pernahkah Kamu mendengar informasi mengenai Ironbaum?	저흰 대왕의 관문까지 길을 뚫는 작업을 하고 있습니다.{nl}아이언바움은 어떻게 됐는지 혹시 들은 것 있으신가요?
QUEST_LV_0200_20150317_000087	Untuk menjadi seorang pemimpin, Kamu harus memiliki prinsip yang tidak mudah tergoyahkan.	한 무리에서 지도자가 되려면 흔들리지 않는 원칙을 가져야 하지.
QUEST_LV_0200_20150317_000088	Memang benar bahwa mencoba untuk mencapai Gateway of the Great King merupakan tindakan nekat. {nl} Akan tetapi, kita tidak bisa melanggar perintah.	대왕의 관문까지 길을 뚫는 게 무모한 건 사실이지.{nl}그렇다고 해서 명령에 불복할 순 없어.
QUEST_LV_0200_20150317_000089	Hal ini mungkin tampak buruk pada awalnya, tetapi ternyata kedua Commanders sebenarnya memiliki hubungan yang baik.	사이는 나빠 보이지만, 두 지휘관님은 의외로 호흡이 잘 맞아요. 
QUEST_LV_0200_20150317_000090	Aku merasa sangat kesepian semenjak tidak ada siapapun disini. {nl} Sudah sangat lama bagiku untuk melihat wajah-wajah baru disini.	아무도 없으니 너무 외로워요.{nl}사람은 정말 오랜만이네요.
QUEST_LV_0200_20150317_000091	Apa yang sedang kamu lakukan di hutan ini? Tidak mungkin, Apakah terdapat jalan disana?	아무도 없는 숲에 무슨 일이세요?{nl}설마, 다시 길이 뚫렸나요?
QUEST_LV_0200_20150317_000092	Terima kasih. {nl} Prajurit dan rekan-rekan, sekarang aku bisa tidur dengan nyaman.	감사해요.{nl}병사들도, 제 동료들도 편히 잠들 수 있을 거에요.
QUEST_LV_0200_20150317_000093	Aku tidak bisa merasakan tangan dan kaki. {nl} Aku merasa sangat aneh meskipun tidak merasakan dingin.	팔과 다리에 감각이 없어.{nl}추운 것도 아닌데 기분이 이상해.
QUEST_LV_0200_20150317_000094	Kita harus mengalahkan Gaigalas. {nl} Jika tidak, Aku tidak bisa tidur dengan nyaman.	가이갈라스를 반드시 무찔러야 한다.{nl}그렇지 않으면 너무 화가 나서 잘 수도 없을 거야.
QUEST_LV_0200_20150317_000095	Kita akan segera memulai perburuan Gaigalas. {nl} Aku sangat bersemangat.	곧 가이갈라스 사냥을 시작할거야.{nl}흥분되는군.
QUEST_LV_0200_20150317_000096	Dendam ini sangat menyedihkan. {nl} Hal yang menyedihkan adalah kita tidak berdaya untuk menghentikan semuanya.	원한이란 건 너무 슬퍼요.{nl}보고만 있어야 하는 것도 너무 슬퍼요.
QUEST_LV_0200_20150317_000097	Kesengsaraan akan terus berlanjut kecuali seseorang berhasil menghentikan para Demon.	사악한 존재들이 날뛰는 한 희생은 계속되겠지요.
QUEST_LV_0200_20150317_000098	Joint Investigation Team Fray	합동조사단 프레이
QUEST_LV_0200_20150317_000099	Aku Fray {nl} Mendengarkan cerita yang disampaikan, Situasinya terdengar buruk. {nl} Sepertinya informasi yang telah Kamu dan Scott teliti adalah benar.	난 프레이라고 해.{nl}이야길 들어보니 어째.. 상황이 좀 안 좋은가 보네?{nl}스캇과 네가 조사한 내용이 그렇다면야..
QUEST_LV_0200_20150317_000100	{nl} Maka, Aku harus melakukan sesuatu. {nl} Kalahkan beberapa Vubbe Red terlebih dahulu. Mereka telah mengusik pikiranku akhir-akhir ini.	{nl}나도 그럼 이쪽에서 뭐라도 해야겠지.{nl}우선은 붉은 부베 약탈자를 좀 처리해 줘. 거슬리기 짝이 없거든.
QUEST_LV_0200_20150317_000101	Tolong, Aku mohon kepada Kamu. . {nl} Aku mulai kesal hanya melihat warna merah ini.	그럼 부탁할게!{nl}저 붉은색만 봐도 이젠 정말 진절머리가 나.
QUEST_LV_0200_20150317_000102	Oh, apakah Kamu benar-benar mengalahkan mereka untukku? {nl} Terima kasih!	어머, 진짜 날 위해 힘써준 거야?{nl}고맙기도 해라!
QUEST_LV_0200_20150317_000103	Aku mendapatkan sesuatu setelah berbicara dengan Scott. {nl} Beberapa Woodman sedang memindahkan Tree Sculpture. {nl} Apakah ini berkaitan dengan Sebuah Bark of Tree yang dimiliki oleh Vubbe?	스캇이 전해 준 이야길 듣고 생각 난 건데 말야.{nl}우드맨이라고 살아 움직이는 나뭇조각 같은 게 있거든.{nl}아무래도 부베가 가지고 있었다는 나무껍질이랑 관련이 있는 걸까?
QUEST_LV_0200_20150317_000104	Sepertinya, belum ada kabar dari Scott tentang laporan keduanya. {nl} Aku ingin menghetahui apa yang sebenarnya terjadi pada Scoot? Hmm..	그나저나 스캇이 2차 보고서를 보내 준다고 했는데 아직도 소식이 없네.{nl}우리 귀여운 스캇에게 무슨 일이라도 생긴 걸까? 흐음..
QUEST_LV_0200_20150317_000105	Wow, hebat! {nl} Aku berutang budi padamu. Terima kasih!	와아, 대단한걸?{nl}이걸로 내가 빚을 졌네. 고마워!
QUEST_LV_0200_20150317_000106	Benar? Jadi Aku akan meminta Kamu. {nl} Woodman muncul di Deer Hoot Site disepanjang sisi kiri jalan.	역시 그렇지? 그럼 네게 부탁할게.{nl}우드맨은 왼쪽 길을 따라가면 나오는 사슴발굽 공터 쪽에서 나타나고 있어.
QUEST_LV_0200_20150317_000107	Aku akan membawa hasil pengabungan Material Scott dan Fragment ini kepada pemimpinku. {nl} Sepertinya, hingga saat ini belum ada kabar apapun dari Scott. Meskipun sudah lama Scott menjanjikannya. Hanya mengandalkan kabar angin saja tidaklah cukup untuk melakukan penyelidikan lainnya?{nl}	이 파편이랑 스캇의 자료를 조합한 결과를 선배에게 전해야겠어.{nl}그런데 우리 스캇이 문서로 된 보고서를 준다고 한 지가 훠얼씬 지났는데 아직도 소식이 없네?{nl}전해 들은 이야기만으로는 다른 조사단원에게 신빙성이 떨어지지 않겠어?{nl}
QUEST_LV_0200_20150317_000108	Bisakah Kamu mengambil laporan dari Scott? {nl} Jangan lupa untuk menegurnya karena mengabaikan pekerjaan!	네가 스캇에게 보고서 좀 받아와 줄 수 있을까?{nl}농땡이 중이면 흠씬 혼내 주는 거 잊지 말고!
QUEST_LV_0200_20150317_000109	Tolong tangani laporan Scott. Oke? {nl} Terkadang, dia bodoh, tapi dia juga imut.	우리 스캇의 보고서를 부탁해. 알았지?{nl}가끔 맹한 구석이 있어서 답답하지만 그게 또 귀엽거든.
QUEST_LV_0200_20150317_000110	Aku jarang terlihat. Akhir-akhir ini, Aku sedang menyelidiki berbagai tempat untuk menemukan sesuatu.. {nl} Terima kasih banyak. Jika Kamu tidak .. {nl} Ah, Aku tidak ingin memikirkannya. {nl}	면목이 없네. 요즘 이것저것 조사한다고 여기저기 들쑤시고 다녔더니..{nl}정말 고마워.  네가 아니었으면 아마 지금쯤.. {nl}아휴, 생각하기도 싫군.{nl}
QUEST_LV_0200_20150317_000111	Ah, sudah waktunya. {nl} Maafkan aku, Tolong berikan ini kepada Fray. {nl} Aku tidak tahu harus mulai darimana untuk menyelesaikan kekacauan yang Vubbe lakukan..	아차, 이럴 때가 아니지.{nl}미안한데 이 연구 자료 좀 프레이한테 대신 전해 줘.{nl}부베들이 난리 쳐 놓은 것들을 다 정리해야 하는데 어디서부터 시작해야 할지..
QUEST_LV_0200_20150317_000112	Ah, ini laporannya! {nl} Bagus, dan apa yang sedang Scott lakukan? {nl}	아, 보고서구나! {nl}그래. 스캇은 뭐 하고 있었대?{nl}
QUEST_LV_0200_20150317_000113	Benarkah? Dia tidak bisa menangani Vubbe satupun dan mendapatkan masalah. {nl} Ini sungguh memalukan.. Aku akan memarahinya nanti!	그래? 부베 하나 제대로 처리하지도 못하고 쩔쩔매고 있었단 말이지?{nl}이거 참 부끄럽게.. 나중에 내가 한마디 해야겠어!
QUEST_LV_0200_20150317_000114	Semuanya berantakan. {nl} Aku tidak bisa berkonsentrasi karena Vubbe. {nl} Dia pasti tertawa, jika dia melihatnya?	전부 다 엉망이야 엉망. {nl}저놈의 부베들 때문에 집중할 수가 없어.{nl}이 꼴을 프레이가 본다면 분명히 비웃겠지?
QUEST_LV_0200_20150317_000115	Joint Investigation Team Fray	합동조사단프레이
QUEST_LV_0200_20150317_000116	Peristiwa tersebut masih dalam proses pemeriksaan.{nl}Ambillah. Ini adalah Soul Collection Scroll.{nl}	사건의 실체를 파악하려면 아직 멀었어. 아직도 할 일이 쌓여있다고.{nl}자. 이거 받아. 영혼수집 스크롤이야.{nl}
QUEST_LV_0200_20150317_000117	Setelah Kamu mengalahkan Red Vubbe dengan menggunakan scroll ini, maka jiwa mereka akan keluar, bukan? {nl} Aku memintamu untuk mengumpulkan semuanya. Dengan begitu, data hampir selesai dikumpulkan.	붉은 부베 궁수에 이 스크롤을 사용한 뒤 처치하면 정신체만 쏙 빠져나오거든?{nl}그걸 모아서 갖다 줘. 그러면 얼추 자료들이 정리될 것 같아.
QUEST_LV_0200_20150317_000118	Jangan lupa perintahnya. {nl} Kamu harus mengalahkan Red Vubbe setelah menggunakan Soul Collection Scroll kepada mereka. Apakah kamu mengerti?	순서 까먹지 마.{nl}붉은 부베 궁수에게 영혼수집 스크롤 먼저 사용한 뒤에 처치하는 거야. 알겠지?
QUEST_LV_0200_20150317_000119	Mengenai Bark Tree yang Vubbe miliki.{nl} Aku pikir dapat digabungkan dengan menggunakan kekuatan Spirit..{nl} Baiklah, Sampaikan berita ini kepada Ukirt.	부베들이 지녔다던 나무껍질 말이야.{nl}뭔가 영적인 것으로 결합할 수 있는 거 같아..{nl}음, 이 이야기를 유커트에게 전해 줘.
QUEST_LV_0200_20150317_000120	Joint Investigation Team Ukirt	합동조사단 유커트
