ETC_20150317_000001	Kepa	케파
ETC_20150317_000059	Para peneliti mengatakan, terdapat jiwa di dalam tumbuhan dan tumbuhan yang berubah bentuk tersebut yang dinamakan meduja.	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.
ETC_20150317_000060	Meduja Larva	미듀쟈 유충
ETC_20150317_000061	Elaganos	엘라가노스
ETC_20150317_000062	Bite	바이트
ETC_20150317_000063	Beberapa orang mengatakan, lebih baik terkena panah daripada digigit oleh mereka ini.	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.
ETC_20150317_000064	Puragi	푸라기
ETC_20150317_000065	Pada saat Perang saudara Ruklys, kaum demon menaruh mereka secara diam-diam untuk menyerang para pasukan Ruklys, hal merupakan rahasia dari sejarah yang disembunyikan	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.
ETC_20150317_000066	Blue Puragi	푸른 푸라기
ETC_20150317_000067	Mereka suka merampas dan membantai dibandingkan Puragi lainnya.	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.
ETC_20150317_000068	Green Puragi	초록 푸라기
ETC_20150317_000069	Topeng jerami yang bagian dalamnya tidak pernah dilihat oleh siapapun.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다
ETC_20150317_000070	Red Puragi	붉은 푸라기
ETC_20150317_000071	Large Puragi	대형 푸라기
ETC_20150317_000072	Zigri	지그리
ETC_20150317_000073	Brown Zigri	갈색 지그리
ETC_20150317_000074	Kaum demon yang menyukai pembantaian.	살육을 즐기는 마족의 졸개입니다.
ETC_20150317_000075	Black Zigri	검은 지그리
ETC_20150317_000076	Kaum Demon ini  tersebar dengan bebas di seluruh dunia.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.
ETC_20150317_000077	Red zigri	붉은 지그리
ETC_20150317_000078	Fisherman	피셔맨
ETC_20150317_000079	Alasan Fisherman termasuk dalam Monster mutasi adalah karena tali pancing memberikan pengaruh terhadap kehidupan.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.
ETC_20150317_000080	Blue Fisherman	푸른 피셔맨
ETC_20150317_000081	Green Fisherman	초록 피셔맨
ETC_20150317_000082	Red Fisherman	붉은 피셔맨
ETC_20150317_000083	Masih banyak kelakuan para Fisherman yang belum dapat dijelaskan.	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.
ETC_20150317_000084	Gribaru	그리바루
ETC_20150317_000085	Bagian kepala banyak digunakan untuk pendeteksi dan penarik perhatian.	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.
ETC_20150317_000086	Big Gribaru	빅그리바루
ETC_20150317_000087	Thorn Forest Griba	가시숲 그리바
ETC_20150317_000088	Matsum	메슘
ETC_20150317_000089	Matsum adalah monster berasal ekstrak tanaman dan hewan, atau barang tambang. Yang perlu diketahui adalah ia berbahaya.	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.
ETC_20150317_000090	Matsuma	메슘마
ETC_20150317_000091	Mirtis Ego	분신 미르티스
ETC_20150317_000092	Molich	몰렉
ETC_20150317_000093	Mini Griba	미니 그리바
ETC_20150317_000094	Green Griba	초록 그리바
ETC_20150317_000095	Red Griba	붉은 그리바
ETC_20150317_000096	Memiliki warna yang terang dan mencolok namun tidaklah mudah untuk dihindari.	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.
ETC_20150317_000097	Yellow Griba	노란 그리바
ETC_20150317_000098	Large Red Griba	대형 붉은 그리바
ETC_20150317_000099	Big Griba	빅 그리바
ETC_20150317_000100	Seseorang pernah mengkritik  monster ini, sulit untuk dihalangi dan sulit dimakan.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.
ETC_20150317_000101	Big Blue Griba	푸른 빅 그리바
ETC_20150317_000102	Merupakan monster yang sengaja dihindari ketika pergi hunting, karena kuat dan a lot	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.
ETC_20150317_000103	Green Big Griba	초록 빅 그리바
ETC_20150317_000104	Red Big Griba	붉은 빅 그리바
ETC_20150317_000105	Old Kepa	늙은케파
ETC_20150317_000106	Kepa yang telah memekarkan bunga. Harap berhati-hati karena memiliki aroma pedas yang lebih kuat.	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.
ETC_20150317_000107	Gelsvas Old Kepa	겔스바스 늙은케파
ETC_20150317_000108	Black old Kepa	검은 늙은케파
ETC_20150317_000109	Red old Kepa	붉은 늙은케파
ETC_20150317_000110	Kepa yang bertahan hidup lama karena akan berubah warnanya menjadi lebih tua, lebih berbahaya.	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.
ETC_20150317_000111	Large old Kepa	대형 늙은케파
ETC_20150317_000112	Rafflesia	라플레시아
ETC_20150317_000113	Green Rafflesia	초록 라플레시아
ETC_20150317_000114	Black Rafflesia	검은 라플레시아
ETC_20150317_000115	Daun Tanaman ini lebih kuat daripada kulit hewan.	이 식물의 잎은 가죽보다 강하다고 합니다.
ETC_20150317_000116	Red Rafflesia	붉은 라플레시아
ETC_20150317_000117	Raffly	라플리
ETC_20150317_000118	Walau Raffly telah bermutasi, ia tetap memburu serangga kecil	라플리 변이된 후에도 작은 곤충을 사냥합니다.
ETC_20150317_000119	Blue Raffly	푸른 라플리
ETC_20150317_000120	Gray Raffly	회색 라플리
ETC_20150317_000121	Black Raffly	검은 라플리
ETC_20150317_000122	Ridimed	리디메드
ETC_20150317_000123	Blue Ridimed	푸른 리디메드
ETC_20150317_000124	Walau mengalami perubahan dari rumput, sekarang seluruh tubuhnya adalah kayu yang keras.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.
ETC_20150317_000125	Black Ridimed	검은 리디메드
ETC_20150317_000126	Red Ridimed	붉은 리디메드
ETC_20150317_000127	Sakmoli	사크몰리
ETC_20150317_000128	Tidak akan jatuh walau kamu menyerang kaki nya.	다리를 공격한다고 쓰러지지 않습니다. 
ETC_20150317_000129	Green Sakmoli	초록 사크몰리
ETC_20150317_000130	Orange Sakmoli	주홍 사크몰리
ETC_20150317_000131	Black Sakmoli	검은 사크몰리
ETC_20150317_000132	Rikaus	리카우스
ETC_20150317_000133	Green Apparition	초록 어패리션
ETC_20150317_000134	Hantu yang mendapat pengaruh dari kaum demon, banyak memiliki tampilan yang berbeda seperti ini.	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.
ETC_20150317_000135	Black Apparition	검은 어패리션
ETC_20150317_000136	Spectra	스펙트라
ETC_20150317_000137	Black Spectra	검은 스펙트라
ETC_20150317_000138	Yang membedakan monster dan tipe hantu lainnya adalah banyak kondisi dimana roh yang jahat ketika saat hidup.	다른 먕령류의 몬스터와 달리 이들은 살았을 적에도 사악한 영혼인 경우가 많습니다.
ETC_20150317_000139	Large Specter	대형 스펙터
ETC_20150317_000140	Specter of Dazzled	현혹의 스펙터
ETC_20150317_000141	Green Rikaus	초록 리카우스
ETC_20150317_000142	Spectron	스펙트론
ETC_20150317_000143	Specter Master	스펙터 군주
ETC_20150317_000144	Dunball	던볼
ETC_20150317_000145	Bagian benihnya bermutasi, tetapi tanpa mengurangi kemmapuan benihnya. merupakan monster mutas yang memiliki kulit luar yang keras dan duri sebagai bulu halusnya.	부유형 씨앗이 변이되면서 부유능력은 잃지 않고 솜털은 가시와 단단한 외피로 변형된 몬스터입니다.
ETC_20150317_000146	Big Dunball	빅던볼
ETC_20150317_000147	Woodspirit	우드스피릿
ETC_20150317_000148	Blue Woodspirit	푸른 우드스피릿
ETC_20150317_000149	Green Woodspirit	초록 우드스피릿
ETC_20150317_000150	Woodman	우드맨
ETC_20150317_000151	Woodman yang tidak bergerak biasa dianggap sebagai sebuah berkat besar.	우드맨이 움직이지 못하는 점은 큰 축복이라 하겠습니다.
ETC_20150317_000152	Blue Woodman	푸른 우드맨
ETC_20150317_000153	Gray Woodman	회색 우드맨
ETC_20150317_000154	Red Woodman	붉은 우드맨
ETC_20150317_000155	Dark Slime	다크슬라임
ETC_20150317_000156	Slime, walaupun bentuk terakhirnya sama, tetapi memiliki banyak jenis tergantung dari perbedaan material yang berubah dari bentuk aslinya.	슬라임은 최종 형태는 비슷해도 원형이 되는 물질의 차이에 따라 다양한 종류가 생깁니다.
ETC_20150317_000157	Rusrat	러스라트
ETC_20150317_000158	Di masa pemerintahan Zachariel the Great, menguasai berbagai reruntuhan dan membunuhi para penyusup. Nama panggilan itu didapat dari sebutan para perampok makam.	자카리엘 왕릉을 시점으로 여러 유적에 배치되어 침입자를 처치하면서 도굴꾼들에게 얻은 별명입니다.
ETC_20150317_000159	Madakia	메다키아
ETC_20150317_000160	Para Court Sorcerers, menciptakan Madakia untuk melawan para grave robbers yang tidak biasa.	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다.
ETC_20150317_000161	Wheelen	휠렌
ETC_20150317_000162	Demi melindungi reruntuhan yang di segel tanpa perlu seseorang pengawas, maka dibuatlah mahluk dengan berbagai jenis magic dan Wheelen adalah salah satunya.	밀폐된 유적을 관리자없이 수호하기 위해 다양한 마법피조물이 만들어졌으며 휠렌도 그 한 종류입니다
ETC_20150317_000163	Wheelen 3	휠렌3
ETC_20150317_000164	Mauros	마우로스
ETC_20150317_000165	Stone Calvary dari Royal Tomb adalah mahluk buatan, dan mampu menghadapi knight kuat dan berpengalaman yang dilengkapi dengan senjata berat.	왕릉석기병은 강하고 노련한 중무장 기사도 감당할 정도로 만들어진 마법피조물입니다.
ETC_20150317_000166	Truffle	트리펠리
ETC_20150317_000167	Tidak diketahui mengapa monster ini membenci manusia dan suka menyerang orang.	원인은 모르나 인간을 극히 증오하는 몬스터이며 생존이나 먹이보다 인간을 공격하기 좋아합니다.
ETC_20150317_000168	Truffle	트리펠리아
ETC_20150317_000169	Bramble	브람블
ETC_20150317_000170	Bramble Ego	브람블의 분신
ETC_20150317_000171	Willow	윌로우
ETC_20150317_000172	Willowna	윌로우나
ETC_20150317_000173	Hanaming	하나밍
ETC_20150317_000174	Daun Hanaming yang gugur dan tidak cepat layu.	하나밍이 죽으며 떨어진 잎은 대개 급속히 시듭니다.
ETC_20150317_000175	Chupacabra	츄파카브라
ETC_20150317_000176	Jumlahnya bertambah banyak setelah krisis pangan. Bersaing dengan manusia untuk memiliki wilayah yang lebih besar.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.
ETC_20150317_000177	Gray Chupacabra	회색 츄파카브라
ETC_20150317_000178	Large Gray Chupacabra	대형 회색 츄파카브라
ETC_20150317_000179	Chupacabra bergerak secara rahasia. Chupacabra dewasa lebih berbahaya bagi manusia.	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 
ETC_20150317_000180	Yellow Chupacabra	노란 츄파카브라
ETC_20150317_000181	Popolion	포포리온
ETC_20150317_000182	Seseorang mengatakan, Popolion dapat menghancurkan botol kaca dengan teriakkannya	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다.
ETC_20150317_000183	Sauga	사우가
ETC_20150317_000184	Saugas	사우가스
ETC_20150317_000185	Scorpion	스콜피온
ETC_20150317_000186	Tontulia	톤투리아
ETC_20150317_000187	Monster yang bermutasi dari Tontus karena suatu kekuatan.	톤투스가 활동력을 지니도록 변이한 몬스터입니다.
ETC_20150317_000188	Tontus	톤투스
ETC_20150317_000189	Kaktus telah berubah menjadi tontus, lingkungan sulit dari orang yang tinggal di  daerah yang kering kerontang kian memburuk.	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다. 
ETC_20150317_000190	Vekarabe	베카라베
ETC_20150317_000191	Dibanding monster lain, Vekarabe memiliki bentuk asli yang tidak berubah. Tentu saja kekuatan serangannya adalah sebuah pengecualian.	베카라베는 다른 동물에 비하면 원형 그대로 몬스터화했습니다. 물론 공격성은 예외입니다.
ETC_20150317_000192	Geppetto	제페토
ETC_20150317_000193	Nama panggilan monster ini sesuai dengan penampilannya. Tetapi sungguh tidak tepat dengan tempramennya.	이 몬스터의 명칭은 외양과는 어울리지만, 그 성질은 전혀 반영하지 않고 있습니다.
ETC_20150317_000194	Boowook	부우크
ETC_20150317_000195	Boowook adalah salah satu sistem pertahanan yang ditinggalkan oleh Zachariel the Great di Royal Mausoleum.	자카리엘이 남긴 왕릉의 수비시설 중의 하나입니다.
ETC_20150317_000196	Bearkaras	베아카라스
ETC_20150317_000197	Pino	피노
ETC_20150317_000198	Orang-orang yang menemukannya pertama kali,  berpikir terdapat kesamaan antara nama Geppeto dan Pino, sehingga memberikannya nama itu.	초기 발견자들은 제페토와 피노 사이에 유사성이 있다고 생각해 이런 이름을 붙였습니다.
ETC_20150317_000199	Helmet bug	투구벌레
ETC_20150317_000200	Monster yang bertubuh besar, juga memiliki kekuatan serangan yang diperkuat sehingga lebih santai.	단순히 크기와 공격성만 더 강화된 이런 몬스터는 차라리 안심이 됩니다.
ETC_20150317_000201	Cauliflower	콜리플라워
ETC_20150317_000202	Jenis monster yang tetap bentuknya, dan  tidak bermusuhan dengan manusia, tetapi menyerang semua hewan berdarah panas.	이 고정형 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.
ETC_20150317_000203	Cauliflower	콜리플라워르
ETC_20150317_000204	Vikaras	비카라스
ETC_20150317_000205	Mahluk ini Sebenarnya ini diciptakan untuk melindungi Royal Tomb, namun semenjak mengalami malfungsi sekarang menyerang semua orang yang masuk.	기원은 왕릉의 시설물이지만 현재는 모든 생명체를 공격하는 오작동 상태입니다.
ETC_20150317_000206	Cockatries	코카트리스
ETC_20150317_000207	Cockatries dengan ukuran kecil, kamu harus berhati-hati karena ia dapat membatu.	작은 크기의 코카트리스입니다. 물론 석화에 주의해야합니다.
ETC_20150317_000208	Tsumudoku	툼독
ETC_20150317_000209	Zinutekas	지누테카스
ETC_20150317_000210	Penampilannya sering membuat keliru dengan monster yang mirip, makhluk ini adalah buatan sihir dengan kepintaran buatan.	외양이 유사한 다른 몬스터와 혼동되기도 하지만, 이들은 인공적인 마법피조물입니다.
ETC_20150317_000211	Pokubu	포쿠부
ETC_20150317_000212	Dari penampilannya , dia adalah sisi buas dari Pokubu.	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.
ETC_20150317_000213	Gray Pokubu	회색 포쿠부
ETC_20150317_000214	Jinutena	지누테나
ETC_20150317_000215	Lau Jinutena	라우지누테나
ETC_20150317_000216	Danderu	단델
ETC_20150317_000217	Yang menakutkan dari Bulu Danderu dibandingkan dengan kekerasannya adalah ,  vitalitasnya yang meningkat dan kemampuan serangnya.	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다. 
ETC_20150317_000218	Candle Spider	양초거미
ETC_20150317_000219	Blue Candle spider	푸른 양초거미
ETC_20150317_000220	Yellow Candle Spider	노란 양초거미
ETC_20150317_000221	Corpse flower	시체꽃
ETC_20150317_000222	Blue Corpse Flower	푸른 시체꽃
ETC_20150317_000223	Green Corpse Flower	초록 시체꽃
ETC_20150317_000224	Winged Frog	날개 개구리
ETC_20150317_000225	Frog berevolusi bentuknya sesuai lingkungan, dan dalam hal ini karena lingkungan di sekitarnya, ia berubah dan memiliki sayap.	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.
ETC_20150317_000226	Green Winged Frog	초록 날개 개구리
ETC_20150317_000227	Gray Winged Frog	회색 날개 개구리
ETC_20150317_000228	Liverwort	우산이끼
ETC_20150317_000229	Liverwort v2	우산이끼v2
ETC_20150317_000230	Leaf Bug	잎방개
ETC_20150317_000231	Leaf Bug's tidak memiliki celah hampa dalam tubuhnya.	잎방개의 속은 비어있지 않습니다. 
ETC_20150317_000232	Catacomb Leaf Bug	카타콤 잎방개
ETC_20150317_000233	King Liverwort	킹 우산이끼
ETC_20150317_000234	Unfortunate Liverwort	불길한 킹 우산이끼
ETC_20150317_000235	Salamion	살라미온
ETC_20150317_000236	Salindi	살린디
ETC_20150317_000237	Salun	살룬
ETC_20150317_000238	Grave Golem	묘지골렘
ETC_20150317_000239	Awalnya mahluk ini dibuat dengan niat yang baik,namun saat ini para golem digerakkan karena pengaruh kekuatan jahat.	본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이는 골렘입니다.
ETC_20150317_000240	Drake	드레이크
ETC_20150317_000241	Kaum demon tingkat lemah yang disummon oleh demon yang lebih kuat untuk menyerang tower.	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다. 
ETC_20150317_000242	Green Drake	초록 드레이크
ETC_20150317_000243	Kaum demon tingkat lemah yang tidak terhitung jumlahnya dan memiliki banyak jenis.	하급 마족으로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.
ETC_20150317_000244	Black Drake	검은 드레이크
ETC_20150317_000245	Mereka awalnya adalah species langka, namun jumlahnya meningkat akhir-akhir ini.	이들은 원래 희귀한 생물이었으나 근래 숫자가 늘어났습니다.
ETC_20150317_000246	Big Cockatries	빅 코카트리스
ETC_20150317_000247	Merupakan Cockatries berukuran besar. Sangat berbahaya, terutama serangannya yang sangat mematikan.	대형 코카트리스입니다. 위험성, 특히 석화위험성은 아무리 강조해도 지나치지 않습니다.
ETC_20150317_000248	Green Kokateu	초록 코카트
ETC_20150317_000249	Red Kokateu	붉은 코카트
ETC_20150317_000250	Sequoia	세콰이아
ETC_20150317_000251	Blue Sequoia	푸른 세콰이아
ETC_20150317_000252	Corrupted	코럽티드
ETC_20150317_000253	Blue Corrupted	푸른 코럽티드
ETC_20150317_000254	Bagworm	누덕고치
ETC_20150317_000255	Bagworm tidak bertambah lagi jumlahnya,tetapi melihat populasinya yang ada sekarang ini maka tidak perlu khawatir ia akan punah.	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다. 
ETC_20150317_000256	Bagworm cheat	누덕고치트
ETC_20150317_000257	Sequoia Flame	세콰이아의 불길
ETC_20150317_000258	Jika meninggalkan tubuh aslinya dalam waktu yang lama, maka akan hancur secara alami.	본체에서 오랜 시간 멀어지면 자연히 소멸됩니다.
ETC_20150317_000259	Bagworm Hook	누덕 갈고리
ETC_20150317_000260	Monster yang mengalami banyak perubahan, setelah datang  menempel dengan hooknya pada monster besar dari dunia iblis.	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다. 
ETC_20150317_000261	Stumpy Tree	몽당 나무
ETC_20150317_000262	Meskipun penebangan sudah berkurang, Monster ini tetap bermunculan. Dan dia terbentuk oleh karena sisa-sisa potongan pohon besar.	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다. 
ETC_20150317_000263	Catacomb Grave Golem	카타콤 묘지골렘
ETC_20150317_000264	Root Mole	뿌리두더쥐
ETC_20150317_000265	Poiming	포이밍
ETC_20150317_000266	Tree Root Mole	나무뿌리 두더지
ETC_20150317_000267	Eye of Mirtis	미르티스의 눈
ETC_20150317_000268	Eye of Great Mirtis	대형 미르티스의 눈
ETC_20150317_000269	Stone	돌
ETC_20150317_000270	Vubbe Extermination Bomb	부베 박멸용 폭탄
ETC_20150317_000271	Time bomb (Hanya untuk di score dungeon)	시한폭탄 (스코어던전 전용)
ETC_20150317_000272	Time bomb	시한폭탄
ETC_20150317_000273	OBB stone	OBB돌
ETC_20150317_000274	Male Wizard	남자 마법사
ETC_20150317_000275	Female Wizard	여자 마법사
ETC_20150317_000276	Damaged seal	파손된 봉인
ETC_20150317_000277	Symbol of Sin	죄악의 상징
ETC_20150317_000278	(Temporary) Prison Control Device	(임시)감옥 통제 장치
ETC_20150317_000279	Collapsed Guard	쓰러진 경비병
ETC_20150317_000280	Mercenary	용병
ETC_20150317_000281	Ghost Soldier	유령 병사
ETC_20150317_000282	Deserter Mercenary	탈영병
ETC_20150317_000283	Lunatic Soldier	광증걸린 전투병
ETC_20150317_000284	Tied Combatants	묶인 전투원
ETC_20150317_000285	Officials of the Mercenary	용병 장교
ETC_20150317_000286	Condottiere	용병 대장
ETC_20150317_000287	Shield Mercenary	방패 용병
ETC_20150317_000288	Ghost Armor	유령 갑옷
ETC_20150317_000289	Large Ghost Armor	대형 유령 갑옷
ETC_20150317_000290	Follower Ghost	신도 유령
ETC_20150317_000291	Boy Ghost	유령 소년
ETC_20150317_000292	Madam Ghost	유령 아줌마
ETC_20150317_000293	Uncle Ghost	유령 아저씨
ETC_20150317_000294	Follower Ghost Leader	신도 유령 수장
ETC_20150317_000295	Follower Ghost (Alter Ego)	신도 유령(분신)
ETC_20150317_000296	Three Eyed Horn	뿔 세눈박이
ETC_20150317_000297	Three Eyed Wing	날개 세눈박이
ETC_20150317_000298	Follower	신도
ETC_20150317_000299	Heavy Infantry Zombie	좀비 중보병
ETC_20150317_000300	Magic Book	매직북
ETC_20150317_000301	Unripe Pumpkin	덜 익은 호박
ETC_20150317_000302	Well Die onion	잘 죽는 양파
ETC_20150317_000303	Large HP Onion	피통 큰 양파
ETC_20150317_000304	Amber Target	호박 타겟
ETC_20150317_000305	Stake Stockades	방책
ETC_20150317_000306	Defense Guardian	디펜스 수호물
ETC_20150317_000307	Babauzi	바바우지스
ETC_20150317_000308	Nasa Zombie	나사 좀비
ETC_20150317_000309	Zombie berserk	좀비 광전사
ETC_20150317_000310	Candle Zombie	양초 좀비
ETC_20150317_000311	Zombie Archer	좀비 궁수
ETC_20150317_000312	Wheelchair Zombie	휠체어 좀비
ETC_20150317_000313	High Vubbe Archer	하이 부베 궁수
ETC_20150317_000314	Desmodus	데스모두스
ETC_20150317_000315	Menurut cerita, dahulu kala para Demon menggunakannya sebagai pengirim pesan.	일설에는 마족들이 전령으로 이용한다고도 합니다.
ETC_20150317_000316	Treasure Vubbe	트레저 부베
ETC_20150317_000317	Vubbe Thief	부베 약탈자
ETC_20150317_000318	Vubbe yang sering terlihat oleh para manusia.	인간들에게 가장 자주 목격되는 부베입니다.
ETC_20150317_000319	Red Vubbe Robber	붉은 부베 약탈자
