SKILL_20150317_000001	Attack	공격
SKILL_20150317_000026	[Banshee] Magic, Magic, Elemen Ice, Ice Pike	[밴시] 매직, 매직, 얼음속성, 아이스파이크
SKILL_20150317_000027	[Mini Griba] Physical, Strike, Elemen Lightning, Two handed Strike 1 kali	[미니그리바] 물리, 타격, 뇌속성, 1회 양손으로 치기
SKILL_20150317_000028	[Big Griba] Physical, Strike, Elemen Lightning, Smash 1 kali	[빅그리바] 물리, 타격, 뇌속성, 1회 강하게 내려치기
SKILL_20150317_000029	[Big Griba] Physical, Strike, Elemen Lightning, Spread poison 1 kali	[빅그리바] 물리, 타격, 뇌속성, 1회 독무 내뿜기
SKILL_20150317_000030	[Big Griba] Physical, Strike, Elemen Lightning, Ground Smash 1 kali	[빅그리바] 물리, 타격, 뇌속성, 1회 양손으로 바닥 치기
SKILL_20150317_000031	[Haming] Physical, Strike, Elemen Lightning, Head Strike	[하밍] 물리, 타격, 뇌속성, 1타 전방 머리 박치기
SKILL_20150317_000032	[Haming] Physical, Strike, Elemen Lightning, Counter Skill	[하밍] 물리, 타격, 뇌속성, 1타 전방 카운터 스킬
SKILL_20150317_000033	[Haming] Physical, Strike, Elemen Lightning, Jump dan rotating attack	[하밍] 물리, 타격, 뇌속성, 1타 점프하면서 돌려치기 공격
SKILL_20150317_000034	[Truffle] Physical, Strike, Elemen Lightning, Body Slam	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 짧게 몸통 박치기
SKILL_20150317_000035	[Truffle] Physical, Strike, Elemen Lightning, Smash	[트리펠리] 물리, 떄리기, 뇌속성, 위에서 아래로 내려치기
SKILL_20150317_000036	[Truffle] Physical, Strike, Elemen Lightning, Body Slam	[트리펠리] 물리, 떄리기, 뇌속성, 대기해서 몸통 박치기
SKILL_20150317_000037	[Slime_Dark] Physical, Strike, Elemen Dark, Headbutt	[다크슬라임] 물리, 타격, 암속성, 1회 박치기 공격
SKILL_20150317_000038	[Slime_Dark] Physical, Strike, Elemen Dark, Attack 1 kali	[다크슬라임] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000039	[Kepa] Physical, Strike, Elemen Poison, Conical AoE	[케파] 물리, 타격, 독속성, 전방 부채꼴
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE	[중독된 케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000041	[Old Kepa] Physical, Strike, Elemen Earth, Fume Smoke	[늙은케파] 물리, 타격, 땅속성, 1회 연기 뿜기 공격
SKILL_20150317_000042	[Thornball] Physical, Pierce, Elemen Poison, Conical AoE	[던볼] 물리, 찌르기, 독속성 전방 부채꼴 몸통 공격
SKILL_20150317_000043	[Matsum] Physical, Strike, Elemen Fire, Conical AoE	[메슘] 물리, 타격, 화속성, 전방 부채꼴
SKILL_20150317_000044	[Sakmoli] Magic, Strike, Elemen Ice, Normal Attack 1 kali	[사크몰리] 매직, 타격, 수속성. 1회 일반 공격
SKILL_20150317_000045	[Sakmoli] Magic, Strike, Elemen Ice, Normal Attack 1 kali	[사크몰리] 매직, 타격, 수속성, 1회 일반 공격
SKILL_20150317_000046	[Jukopus] Physical, Strike, Elemen Earth, Body Slam	[유코푸스] 물리, 타격, 땅속성, 1타 전방 몸통 박치기
SKILL_20150317_000047	[Jukopus] Physical, Strike, Elemen Earth, Jump dan Body Slam	[유코푸스] 물리, 타격, 땅속성, 1타 전방 점프하여 몸통 박치기
SKILL_20150317_000048	[Red Bushspider] Jump dan Smash	[붉은 크루마보] 점프해서 내려찍기
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE	[붉은 크루마보] 일반 공격, 전방 부채꼴
SKILL_20150317_000050	[Baby Dionia] Normal Attack, Conical AoE	[디오니아 새끼] 일반 공격, 전방 부채꼴
SKILL_20150317_000051	[Mini Griba] Physical, Strike, Elemen Poison, One Punch	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 원 펀치
SKILL_20150317_000052	[Mini Griba] Physical, Strike, Elemen Poison, One-two Punch	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 2회 원투 펀치
SKILL_20150317_000053	[Mini Griba] Physical, Strike, Elemen Poison, Two-hand Strike	[미니그리바, 초록 그리바] 물리, 타격, 독속성, 1회 양손으로 치기
SKILL_20150317_000054	[Griba] Physical, Strike, Attack Elemen Ice 1 kali	[푸른 빅 그리바] 물리, 타격, 수속성 1회 공격
SKILL_20150317_000055	[Griba] Magic, Magic, Attack Elemen Ice 1 kali	[푸른 빅 그리바] 매직, 매직, 수속성 1회 공격
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE	[늙은케파] 일반 공격, 전방 부채꼴
SKILL_20150317_000057	[Tree Ghost] One-handed Strike	[나무유령] 한손으로 타격
SKILL_20150317_000058	[Tree Ghost] Two-handed clap	[나무유령] 양손으로 박수치기
SKILL_20150317_000059	[Tree Ghost] Stomp ground	[나무유령] 바닥을 내려치기
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Elemen Fire, Fume Fire 3 kali	[코카트리스] 매직, 매직, 화속성, 3회 불 뿜어내기 공격
SKILL_20150317_000061	[Zinute] Attack Physical Pierce Elemen Fire 1 kali	[지누테] 물리 찌르기 화속성 1회 공격
SKILL_20150317_000062	[Zinute] Attack Physical Slash Elemen Fire 1 kali	[지누테] 물리 베기 화속성 1회 공격
SKILL_20150317_000063	[Tontulia] Physical Strike Elemen Lightning Attack 1 kali	[톤투리아] 물리 타격 전기속성 1회 공격
SKILL_20150317_000064	[Tontulia] Physical Hit Elemen Lightning Attack 2 kali	[톤투리아] 물리 떄리기 전기속성 2회 공격
SKILL_20150317_000065	[Tontus] Physical Strike, Elemen Poison Attack 2 kali	[톤투스] 물리 떄리기, 독속성 2회 공격
SKILL_20150317_000066	[Tontus] Physical Pierce, Elemen Poison Attack 1 kali	[톤투스] 물리 찌르기, 독속성 1회 공격
SKILL_20150317_000067	[Tontus] Physical Strike, Elemen Poison Attack 1 kali	[톤투스] 물리 떄리기, 독속성 1회 공격
SKILL_20150317_000068	[Vekarabe] Physical, Pierce, Elemen Poison, Forward Pierce Attack	[베카라베] 물리, 찌르기, 독속성, 전방 1회 찌르기 공격
SKILL_20150317_000069	[Vekarabe] Physical, Pierce, Elemen Poison, Forward Upper Pierce Attack	[베카라베] 물리, 찌르기, 독속성, 전방 1회 올려찌르기 공격
SKILL_20150317_000070	[Geppetto] Physical Strike, Elemen Earth Attack 2 kali	[제페토] 물리 타격, 땅속성 2회 공격
SKILL_20150317_000071	[Geppetto] Physical Strike, Elemen Earth Attack 1 kali	[제페토] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000072	[Geppetto] Physical Strike, Elemen Earth Attack 1 kali	[제페토] 물리 떄리기, 땅속성 1회 공격
SKILL_20150317_000073	[Boowook] Physical, Strike, Elemen Earth Attack 1 kali	[부우크] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000074	[Boowook] Physical, Strike, Elemen Earth Feet Stomp Attack 1 kali,	[부우크] 물리, 타격, 땅속성 두발 내려치기 1회 공격
SKILL_20150317_000075	[Desmodus] Physical, Pierce, Elemen Dark Tail Blow	[데스모두스] 물리, 찌르기, 암속성 꼬리로 타격
SKILL_20150317_000076	[Desmodus] Physical, Pierce, Elemen Dark Body Blow	[데스모두스] 물리, 찌르기, 암속성 몸통으로 타격
SKILL_20150317_000077	[Pino] Physical Blow, Elemen Earth Attack 1 kali	[피노] 물리 타격, 땅속성 1회 공격
SKILL_20150317_000078	[Cauliflower] Physical, Pierce, Elemen Poison, Smash dengan tentacle	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 내려치기
SKILL_20150317_000079	[Cauliflower] Physical, Pierce, Elemen Poison, Gouge dengan tentacle	[콜리플라워] 물리, 찌르기, 독속성, 1타 촉수로 후려치기
SKILL_20150317_000080	[Cauliflower] Physical, Pierce, Elemen Poison, Ground Smash	[콜리플라워] 물리, 찌르기, 독속성, 바닥을 내려치기
SKILL_20150317_000081	[Helmet Bug] Physical, Pierce, Elemen Earth, Attack 1 kali	[투구벌레] 물리, 찌르기, 땅속성, 1회 공격
SKILL_20150317_000082	[Helmet Bug] Normal Attack2	[투구벌레]일반공격2
SKILL_20150317_000083	[Bikaaras Mage] Magic, Magic, Elemen Fire, Attack 1 kali	[비카라스 메이지] 매직, 매직, 화속성, 1회 공격
SKILL_20150317_000084	[Bikaaras Mage] Physical, Slash, Elemen Fire, Attack 1 kali	[비카라스 메이지] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000085	[Vikaras] Physical, Slash, Elemen Fire, Attack 1 kali	[비카라스] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000086	[Vikaras] Physical, Slash, Elemen Fire, Ground Smash 1 kali	[비카라스] 물리, 베기, 화속성, 1회 바닥 내려치기
SKILL_20150317_000087	[Mutant Chinency] Normal Attack, Forward Missile	[변이 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000088	[Zinute] One-handed Blow	[지누테] 한손으로 타격
SKILL_20150317_000089	[Zinute] Two-handed clap	[지누테] 양손으로 박수치기
SKILL_20150317_000090	[Zinute] Ground Smash 	[지누테] 바닥을 내려치기
SKILL_20150317_000091	[Lauzinute] Physical, Pierce, Elemen Fire Attack 1 kali	[라우지누테] 물리, 찌르기, 화속성 1회 공격
SKILL_20150317_000092	[Lauzinute] Physical, Pierce, Elemen Fire Rotating Attack	[라우지누테] 물리, 찌르기, 화속성 회전 공격
SKILL_20150317_000093	[Dandel] Physical Pierce Elemen Lightning Attack 1 kali	[단델] 물리 찌르기 뇌속성 1회 공격
SKILL_20150317_000094	[Rusrat] Physical, Slash, Elemen Lightning Attack 2 kali	[러스라트] 물리, 베기, 뇌속성 2회 공격
SKILL_20150317_000095	[Rusrat] Physical, Slash, Elemen Lightning Attack 1 kali	[러스라트] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000096	[Medakia] Physical, Slash, Elemen Dark Attack 1 kali	[메다키아] 물리, 베기, 암속성 1회 공격
SKILL_20150317_000097	[Medakia] Magic, Magic, Elemen Dark Attack 1 kali	[메다키아] 매직, 매직, 암속성 1회 공격
SKILL_20150317_000098	[Medakia] Ground Smash	[메다키아] 바닥을 내려치기
SKILL_20150317_000099	[Wheelen] Two-handed clap	[휠렌] 양손으로 박수치기
SKILL_20150317_000100	[Mauros] Physical, Strike, Elemen Dark Attack 1 kali	[마우로스] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000101	[Mauros] Physical, Strike, Elemen Dark Smash Attack 1 kali	[마우로스] 물리, 타격, 암속성 1회 내려치기 공격
SKILL_20150317_000102	[Sauga] Physical Strike Elemen Earth Attack 1 kali	[사우가] 물리 타격 땅속성 1회 공격
SKILL_20150317_000103	[Sauga] Physical, Strike, Elemen Earth Ground Smash	[사우가] 물리, 타격, 땅속성 바닥을 내려치기
SKILL_20150317_000104	Pumpkin Normal attack	호박 일반 공격.
SKILL_20150317_000105	Attack 2	공격2
SKILL_20150317_000106	Pumpkin Normal attack 2	호박 일반 공격2.
SKILL_20150317_000107	[Saurman Priest] Normal attack	[사우르맨 사제] 일반 공격.
SKILL_20150317_000108	Skill	스킬
SKILL_20150317_000109	[Saurman Priest] skills	[사우르맨 사제] 스킬.
SKILL_20150317_000110	Saurman Normal attack	사우르맨 일반 공격.
SKILL_20150317_000111	Saurman Normal attack 2	사우르맨 일반 공격2.
SKILL_20150317_000112	Boy Ghost Normal attack	소년 유령 일반 공격.
SKILL_20150317_000113	Boy Ghost skill	소년 유령 스킬.
SKILL_20150317_000114	Uncle Ghost Normal attack	아저씨 유령 일반 공격.
SKILL_20150317_000115	Uncle Ghost skill	아저씨 유령 스킬.
SKILL_20150317_000116	Goble Elite Normal attack	고블엘리트 일반 공격.
SKILL_20150317_000117	Goble Elite Normal attack 2	고블엘리트 일반 공격2.
SKILL_20150317_000118	Screw Zombie Normal attack	나사 좀비 일반 공격.
SKILL_20150317_000119	Screw Zombie Normal attack 2	나사 좀비 일반 공격2.
SKILL_20150317_000120	Berserker Zombie Normal attack	광전사 좀비 일반 공격.
SKILL_20150317_000121	Candle Zombie Normal attack	양초 좀비 일반 공격.
SKILL_20150317_000122	Zombie Archer Normal attack	좀비 궁수 일반 공격.
SKILL_20150317_000123	[High Vubbe] Physical, Slash, Elemen Water, Normal attack	[하이 부베] 물리, 베기, 수속성, 1회 일반 공격
SKILL_20150317_000124	[High Vubbe Archer] Range, Pierce, Elemen Water, Normal attack	[하이 부베 궁수] 원거리, 찌르기, 수속성, 1회 일반 공격
SKILL_20150317_000125	Girl Ghost Normal attack	소녀 유령 일반 공격.
SKILL_20150317_000126	Girl Ghost skills	소녀 유령 스킬.
SKILL_20150317_000127	Madam Ghost Normal attack	아줌마 유령 일반 공격.
SKILL_20150317_000128	Madam Ghost skills	아줌마 유령 스킬.
SKILL_20150317_000129	Mirtis Eyeball Normal attack	미르티스눈알 일반 공격.
SKILL_20150317_000130	Mirtis Eyeball Normal attack 2	미르티스눈알 일반 공격2.
SKILL_20150317_000131	Spector Elite Normal attack	스펙터여 엘리트 일반 공격.
SKILL_20150317_000132	Spector Elite Normal attack 2	스펙터여 엘리트 일반 공격2.
SKILL_20150317_000133	[Chinency] Physical, Strike, Elemen Earth, one stroke ahead-back blow	[치넨시] 물리, 타격, 땅속성, 1타 전방 돌려치기
SKILL_20150317_000134	[Popolion] Physical, Strike, Elemen Earth, Headbutt	[포포리온] 물리, 타격, 땅속성, 1타 전방 머리로 내려치기
SKILL_20150317_000135	[Popolion] Physical, Strike, Elemen Earth, Sonic wave attack	[포포리온] 물리, 타격, 땅속성, 1타 전방 음파 날리기
SKILL_20150317_000136	[Range Chinency] Normal attack, Forward missile	[원거리 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward Missile, Induce Knockback	[원거리 치넨시] 스킬1, 전방 미사일, 넉백 유발
SKILL_20150317_000138	[Chupacabra] Physical, Strike, Elemen Earth, Headbutt	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 머리 박치기
SKILL_20150317_000139	[Chupacabra] Physical, Strike, Elemen Earth, Jump dan Stomp	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000140	[Chupacabra] Chupa Normal attack 3	[츄파카브라] 츄파 일반 공격3
SKILL_20150317_000141	[Chupacabra] Chupa Normal attack 4	[츄파카브라] 츄파 일반 공격4
SKILL_20150317_000142	Specter Normal attack	스펙터여 일반 공격.
SKILL_20150317_000143	Woodspirit Normal attack	우드스피릿 일반 공격.
SKILL_20150317_000144	Woodspirit Normal attack 2	우드스피릿 일반 공격2.
SKILL_20150317_000145	Guard Normal attack	간수 일반 공격.
SKILL_20150317_000146	Guard Normal attack 2	간수 일반 공격2.
SKILL_20150317_000147	Large explosion	대폭발
SKILL_20150317_000148	Large explosion (Defence)	대폭발(Defence)
SKILL_20150317_000149	One-way turret Normal attack	일방향터렛 일반 공격.
SKILL_20150317_000150	[Ridimed] Physical, Blow, Elemen Poison, Attack 1 kali	[리디메드] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000151	Goblin Fighter attack	고블린 파이터 공격.
SKILL_20150317_000152	Thorn Bush Normal attack	가시덤불 일반 공격.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack	[전투병] 전투원 공격
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2	[전투병] 전투원 공격2
SKILL_20150317_000155	Zombie Archer skill.	좀비 궁수 스킬.
SKILL_20150317_000156	Wheelchair Zombie Normal attack	휠체어 좀비 일반 공격.
SKILL_20150317_000157	Wheelchair Zombie skill	휠체어 좀비 스킬.
SKILL_20150317_000158	Wall of Flame	화염의 벽
SKILL_20150317_000159	Membuat Wall of Flame memberikan damage kepada musuh yang menyentuhnya.	화염의 벽을 생성하여 닿는 적에게 피해를 입힙니다.
SKILL_20150317_000160	Mine explosion	지뢰 폭발
SKILL_20150317_000161	Detonate explosive mines	폭발 지뢰의 폭발.
SKILL_20150317_000162	Toxic explosion	맹독 폭발
SKILL_20150317_000163	Detonate toxic mines	맹독 지뢰의 폭발.
SKILL_20150317_000164	Claymore explosion	크레모아 폭발
SKILL_20150317_000165	Claymore explosion	크레모아 폭발.
SKILL_20150317_000166	Jump Attack	점프공격
SKILL_20150317_000167	Life Stream	생명의 흐름
SKILL_20150317_000168	Life Stream Hill	생명의 흐름 힐.
SKILL_20150317_000169	Glacier Wedge	빙하 쐐기
SKILL_20150317_000170	After the 2 Glacier Wedge	빙하 쐐기 2연타 이후.
SKILL_20150317_000171	Seed explosion	씨앗 폭발
SKILL_20150317_000172	Seed explosion	씨앗 폭발.
SKILL_20150317_000173	Flame explosion	살불 폭발
SKILL_20150317_000174	Flame explosion	살불 폭발.
SKILL_20150317_000175	Snowstorm	눈보라
SKILL_20150317_000176	Meteor Bang	유성 강타
SKILL_20150317_000177	Normal attack	일반 공격
SKILL_20150317_000178	Smack Down	내려찍기
SKILL_20150317_000179	Smack down dan memberikan damage kepada musuh ketika mendorongnya	수직으로 내려쳐서 전방의 적들에게 피해를 입히며 밀쳐냅니다.
SKILL_20150317_000180	Missile attack	미사일공격
SKILL_20150317_000181	AOS turret attack	AOS터렛 공격
SKILL_20150317_000182	[Woodman] attack	[우드맨] 공격
SKILL_20150317_000183	Salamander attack	샐러맨더 공격
SKILL_20150317_000184	[Vubbe Miner] Physical, Slash, Elemen Earth, Swing Pickaxe	[부베 광부] 물리, 베기, 땅속성, 1타 전방 곡괭이 휘두르기
SKILL_20150317_000185	Hall statue attack	홀 석상 공격
SKILL_20150317_000186	Hall statue skill	홀 석상 스킬
SKILL_20150317_000187	Priest attack 1	사제 공격 1
SKILL_20150317_000188	Priest skill 1	사제 스킬 1
SKILL_20150317_000189	[Green Apparition] Magic, Magic, Elemen Lightning, attack 1 kali	[초록 어패리션] 매직, 매직, 뇌속성, 1회 공격
SKILL_20150317_000190	Attack Statue 1	석상 공격 1
SKILL_20150317_000191	[Vubbe Theif] Physical, Slash, Elemen Earth, Spear Twirl	[부베약탈자] 물리, 베기, 땅속성, 1타 전방 창으로 휘두르기
SKILL_20150317_000192	[Vubbe Theif] Physical, Pierce, Elemen Earth Aries skills	[부베약탈자] 물리, 찌르기 , 땅속성  아리에스 스킬
SKILL_20150317_000193	[Saurman Spearman] Normal attack	[사우르맨 창병] 일반 공격.
SKILL_20150317_000194	[Saurman Spearman] Normal attack 2	[사우르맨 창병] 일반 공격2.
SKILL_20150317_000195	[Vubbe Archer] Range, Pierce, Elemen Earth, Frontal Arrow Shot	[부베 궁수] 원거리, 찌르기, 땅속성, 1타 전방 화살공격
SKILL_20150317_000196	[Pokubu] Physical, blow, Elemen Earth, Hook Attack	[포쿠부] 물리, 타격, 땅속성, 1타 전방 밑에서 위로 뿔로 올려치기
SKILL_20150317_000197	[Bagworm] Magic, Magic, Elemen Poison, Frontal Poison Spread Attack	[누덕고치] 매직, 마법, 독속성, 1타 전방 독 뿌리기 공격
SKILL_20150317_000198	[Bagworm] Long Distance, Magic, Elemen Poison, Ranged Poison Shot	[누덕고치] 원거리, 매직 , 독속성, 1타 전방 원거리 독 포스 공격
SKILL_20150317_000199	[Saurman Axeman] Normal attack	[사우르맨 도끼병] 일반 공격.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2	[사우르맨 도끼병] 일반 공격2.
SKILL_20150317_000201	Heal	힐
SKILL_20150317_000202	Monster Heal	몬스터 힐
SKILL_20150317_000203	Vubbe Miners Attack	부베 광부 공격
SKILL_20150317_000204	[Feral Pokubu] Normal attack.	[난폭해진 포쿠부] 일반 공격.
SKILL_20150317_000205	Guard Normal Attack	경비병 일반 공격.
SKILL_20150317_000206	Guard Normal Attack 2	경비병 일반 공격2.
SKILL_20150317_000207	Guard Normal Attack 3	경비병 일반 공격3.
SKILL_20150317_000208	[Candle Spider] Physical, Blow, Elemen Dark, One-Legged Attack	[양초거미] 물리, 타격, 암속성, 1타 전방 다리 하나로 공격
SKILL_20150317_000209	[Candle Spider] Physical, Blow, Elemen Dark, Body Slam	[양초거미] 물리, 타격, 암속성, 1타 전방 몸톰 박치기
SKILL_20150317_000210	[Candle Spider] Physical, Blow, Elemen Dark, Jump dan Two-Legged Stomp	[양초거미] 물리, 타격, 암속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000211	[Winged Frog] Physical, Blow, Elemen Poison, Attack 1 kali	[날개 개구리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000212	[Winged Frog] Physical, Blow, Elemen Poison, Poison Attack 1 kali	[날개 개구리] 물리, 타격, 독속성, 2회 독뿌리기 공격
SKILL_20150317_000213	[Winged Frog] Physical, Blow, Elemen Dark, Headbutt Knockback Attack	[날개 개구리] 물리, 타격, 암속성, 1회 박치기 넉백 공격
SKILL_20150317_000214	[Black Leaf Bug] Physical, Blow, Elemen Dark, Body Slam	[검은 잎방개] 물리, 타격, 암속성, 1타 전방 몸통박치기
SKILL_20150317_000215	[Black Leaf Bug] Physical, Blow, Elemen Dark, Bite attack	[검은 잎방개] 물리, 타격, 암속성, 1타 달라붙어서 물어뜯기
SKILL_20150317_000216	[Black Leaf Bug] Physical, Blow, Elemen Dark, Jump attack	[검은 잎방개] 물리, 타격, 암속성, 1타 전방 점프 공격
SKILL_20150317_000217	[Cemetery Golem] Physical, Blow, Elemen Earth attack 1 kali	[묘지골렘] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000218	[Drake] Physical, Slash, Elemen Fire, attack 1 kali	[드레이크] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000219	[Drake] Magic, Magic, Elemen Fire, Fume Flame attack	[드레이크] 매직, 매직, 화속성, 1회 화염 뿜어내기 공격
SKILL_20150317_000220	[Big Cockatrice] Physical, Pierce, Elemen Fire, Attack 2 kali	[빅 코카트리스] 물리, 찌르기, 화속성, 2회 공격
SKILL_20150317_000221	[Big Cockatrice] Magic, Pierce, Elemen Fire, Fly dan Headbutt	[빅 코카트리스] 매직, 찌르기, 화속성, 1회 날아가며 박치기 공격
SKILL_20150317_000222	[Big Cockatrice]	[빅 코카트리스]
SKILL_20150317_000223	[Panto Shaman] Physical Normal Strike	[판토 주술사] 물리 일반 타격
SKILL_20150317_000224	[Panto Shaman] Magic, Elemen Lightning Strike	[판토 주술사] 매직 뇌속성 타격
SKILL_20150317_000225	[Panto Shaman] Magic, Elemen Lightning Magic	[판토 주술사] 매직 뇌속성 매직
SKILL_20150317_000226	[Panto Wizard] Physical Normal Strike	[판토 마법사] 물리 일반 타격
SKILL_20150317_000227	[Panto Wizard] Magic, Elemen Lightning Strike	[판토 마법사] 매직 뇌속성 타격
SKILL_20150317_000228	[Panto Wizard] Magic, Elemen Lightning Magic	[판토 마법사] 매직 뇌속성 매직
SKILL_20150317_000229	[Moya] Physical, Strike, Elemen Lightning Attack	[모야] 물리, 타격, 뇌속성 1회 공격
SKILL_20150317_000230	[Moyabu] Physical, Strike, Elemen Lightning Attack	[모야부] 물리, 타격, 뇌속성 1회 공격
SKILL_20150317_000231	[Bavon] Physical, Strike, Elemen Earth Attack	[바본] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000232	[Tanu] Physical Elemen Poison Slash	[타누] 물리 독속성 베기
SKILL_20150317_000233	[Zignuts] Physical Elemen Poison Strike	[지그너츠] 물리 독속성 타격
SKILL_20150317_000234	[Zignuts] Physical Normal Slash	[지그너츠] 물리 일반 베기
SKILL_20150317_000235	[Moglan] Physical, Pierce, Elemen Lightning Attack	[모글란] 물리, 찌르기, 뇌속성 1회 공격
SKILL_20150317_000236	[Moglan] Physical, Pierce, Elemen Lightning Rotation Attack 2 kali	[모글란] 물리, 찌르기, 뇌속성 회전 2회 공격
SKILL_20150317_000237	[Denden] Physical, Strike, Elemen Dark Attack	[덴덴] 물리, 떄리기, 암속성 1회 공격
SKILL_20150317_000238	[Denden] Range, Magic, Elemen Dark Shoot 1 kali	[덴덴] 원거리, 매직, 암속성 1회 포격
SKILL_20150317_000239	[Doyor] Physical, Strike, Elemen Poison Attack	[도요르] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000240	[Doyor] Magic Reflect Shield Magic	[도요르] 매직 리플렉트쉴드 매직
SKILL_20150317_000241	[Tipio] Physical Normal Strike	[티피오] 물리 일반 타격
SKILL_20150317_000242	[Tipio] Magic Elemen Poison Magic	[티피오] 매직 독속성 매직
SKILL_20150317_000243	[Rondo] Physical, Pierce, Elemen Earth Attack	[론도] 물리, 찌르기, 땅속성 1회 공격
SKILL_20150317_000244	Physical, Strike, Elemen Earth, Attack	[긴팔 나무] 물리, 타격, 땅속성, 1회 공격
