QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_000014	Ah. Jadi kamu sang Savior! Maafkan aku yang tidak mengenalimu. {nl} Para monster itu menyerang supply base saat ini. {nl} Aku perlu membawa keluar beberapa supply penting dari sana. Tolong bantu aku!	아, 계시자님! 몰라 봬서 정말 죄송합니다.{nl}지금 보급기지 전체를 몬스터가 습격 중입니다.{nl}일단 중요한 식량만이라도 어떻게 빼 오고 싶은데.. 제발 도와주십시오!
QUEST_LV_0100_20150317_000015	Tempat ini sangat damai sebelumnya, tapi sekarang mereka berdatangan dalam jumlah yang besar. {nl} apa yang terjadi?	얼마 전까진 잠잠했는데 갑자기 대규모로 몰려들고 있습니다.{nl}대체 무슨 일일까요?
QUEST_LV_0100_20150317_000016	Meskipun begitu, Aku merasa tidak tenang…{nl} Siapa yang  menyangka mereka menyerang dengan cara yang tidak masuk di akal.	안 그래도 불안 불안했는데..{nl}저렇게 말도 안 되는 게 덮칠 줄은 누가 알았겠습니까?
QUEST_LV_0100_20150317_000017	Ikuti jalan ini maka kamu akan sampai di supply warehouse pertama. {nl} Tolong kumpulkan supply apa pun yang masih tersisa!	식량은 위쪽 길을 따라가면 나오는 제1 보급창고에 있습니다.{nl}어떻게 남은 것만이라도 좀.. 아이고 세상에..
QUEST_LV_0100_20150317_000018	Untuk berjaga - jaga saja siapa tahu kamu butuh di kemudian hari, aku akan menulis siapa Sparnas itu. {nl} Mungkin kamu tidak tahu, aku adalah seorang biologist 4 tahun yang lalu.	혹시나 도움이 될까 싶어서 스파르나스가 뭐 하는 놈인지 기록해놨습니다.{nl}제가 이래 봬도 4년 전엔 생물학도였거든요.{nl}
QUEST_LV_0100_20150317_000019	Tolong berikan laporan ini kepada Luders, {nl} kemungkinan dia berada di Center Supply Camp.	이 보고서를 류다스님께 전달해 주십시오. {nl}아마 지금쯤이면 중앙 보급 기지에 계실 겁니다.
QUEST_LV_0100_20150317_000020	Officer Luders	장교 류다스
QUEST_LV_0100_20150317_000021	Ah,  kamu pasti Savior yang dirumorkan itu, senang bertemu denganmu. {nl} apakah ini Report dari Blak!{nl}	아아, 자네가 소문의 그 계시자로군. 반갑네.{nl}이건 블락의 보고서인가?{nl}
QUEST_LV_0100_20150317_000022	Hmmmm…Jadi begitu?{nl} mereka hanya menghancurkan Supply itu dan pergi? Bahkan jika chupacabras mempunyai sayap, aku yakin mereka tak akan mampu melakukan hal seperti itu. {nl}.	흠.. 그렇군. {nl}보급품만 집요하게 파괴하고 도망간다니 츄파카브라에게 날개가 달렸어도 이보단 덜할 거야.{nl}
QUEST_LV_0100_20150317_000023	Ini masih belum cukup.{nl} Maafkan aku, tapi tolong bawalah kami ke Moody's Report dari Amzina Curved Path.	이걸론 좀 부족하군.{nl}미안하네만, 자네가 암지나 굽잇길에 있는 무디의 보고서도 받아다 주게.
QUEST_LV_0100_20150317_000024	Aku merasa lebih baik semenjak Luders berada disini.	류다스님께서 와 주셔서 그나마 마음이 놓입니다.
QUEST_LV_0100_20150317_000025	Soldier York	병사 요크
QUEST_LV_0100_20150317_000026	Siaulambs telah menyebrangi perbatasan. {nl} aku jadi panik, dan aku pun tak tahu apa yang harus dilakukan. {nl} Aku yakin Luders tidak menginginkan ini terjadi… apa yang harus kita lakukan?	샤울렘들이 도를 넘어서고 있습니다.{nl}저도 패닉상태라 도저히 뭘 어떻게 해야 할지 모르겠습니다.{nl}류다스님께선 절대 그냥 넘어가지 않으실 텐데.. 어쩌죠?
QUEST_LV_0100_20150317_000027	Kamu pikir masalahnya akan selesai hanya dengan mengalahkan Sparnas?	스파르나스만 잡는다고 해결될 문제일까요?
QUEST_LV_0100_20150317_000028	Terima kasih atas bantuanmu, aku rasa aku dapat mengendalikan diri dari rasa panik.{nl} tetapi….Hal seperti ini akan terjadi kembali bukan? Lalu apa yang harus aku lakukan…	도와주신 덕분에 어떻게든 추스를 수 있겠네요.{nl}하지만.. 이런 일은 또 생기겠죠? 그럴 땐 어떻게 해야 할지..
QUEST_LV_0100_20150317_000029	Sparnas? Kami tidak mempunyai jawaban pasti mengenai hal itu.{nl} Tiba tiba muncul dari udara tanpa ada tanda-tanda sebelumnya, menghancurkan semua supply dan langsung menghilang. {nl} aku mendadak pusing hanya dengan mendengarkan suara tangisannya saja.	스파르나스요? 그건 진짜 답이 없어요.{nl}징조도 없이 갑자기 하늘에서 나타나선 보급품을 다 부숴버리고 나선 금새 사라져버리죠.{nl}울음소리만 들어도 머리가 아파요.
QUEST_LV_0100_20150317_000030	Tempat yang kuberitahukan kepadamu adalah warehouse supply kedua. {nl} Ini sangat memusingkan karena hal ini dapat terulang kembali kedepannya.	말씀드린 지점은 제2 보급창고입니다. {nl}앞으로도 계속 이런 일이 되풀이 될걸 생각하니 정말 갑갑하네요.
QUEST_LV_0100_20150317_000031	Bawa ini. Umpan ini terbuat dari Old grain. {nl} Sparnas pasti akan muncul disalah satu dari dua tempat ini. Jangan sampai gagal. Dan pastikan hancur. {nl}	받게. 보급품에서 오래된 곡식을 전부 골라내 미끼를 만들었네.{nl}나는 위쪽에서 녀석을 유인해 볼 테니 자넨 여기 벌목지를 맡아 주게.{nl}둘 중 어느 한 곳이던 스파르나스는 반드시 나타날 거야. 놓치지 말고 반드시 처치하세.{nl}
QUEST_LV_0100_20150317_000032	Mungkin kita tidak akan mendapatkan kesempatan untuk kedua kalinya, jika kita tidak mengalahkannya kali ini. {nl} Mereka tidaklah bodoh	이번이 아니면 다신 잡을 수 없을지도 모르네.{nl}저들도 멍청이는 아닐 테니.
QUEST_LV_0100_20150317_000033	Aku mendengar suara pertarungan, sehingga aku datang secepat mungkin.. Apakah kamu telah mengalahkannya?{nl} Saya hanya melihat Siaulambs di tempaku.{nl}Terima kasih. Ini semua berkat anda. 	싸우는 소리가 나서 급히 달려왔네만.. 확실히 처치한 건가?{nl}내 쪽은 샤울렘들만 우글거리더군.{nl}수고했네. 이 모든 공은 자네 덕으로 돌리지. 
QUEST_LV_0100_20150317_000034	Adjutant General Paulina	부관 폴리나
QUEST_LV_0100_20150317_000035	Kita harus mendapatkan kembali supply yang telah di curi.{nl} kita bukanlah prajurit kerajaan bila kita tidak bisa berbuat apa - apa.{nl}	약탈당한 물건은 되찾아와야죠. {nl}그냥 당하고만 있어선 왕국의 군인이라 할 수 없을 겁니다.{nl}
QUEST_LV_0100_20150317_000036	Supply dicuri oleh Siaulambs di setiap Supply Warehouse,{nl} rebut kembali supply yang dicuri dan bawa ke Volda.	빼앗긴 보급품은 각 보급창고에 있는 샤울렘들이 가지고 있다고 합니다.{nl}그 보급품을 되찾아 볼다에게 가져다주십시오.
QUEST_LV_0100_20150317_000037	Aku merasa begitu muak karena harus bersabar selama ini. {nl} Reiforcemnet seharusnya segera datang. {nl}Namun apa yang bisa kami harapkan dari kerajaan yang tidak berkompeten ini?	당하고만 사는 것도 지겹고 분합니다.{nl}빨리 원조가 와야 할 텐데 왕국의 무능함에 뭘 기댈 수 있겠습니까.
QUEST_LV_0100_20150317_000038	Adjutant General Volda	부관 볼다
QUEST_LV_0100_20150317_000039	Kamu pasti sibuk akan hal lain jadi terima kasih banyak. {nl} Dan kami tidak hanya duduk diam dan menunggu. Kami akan terus menyerang.	다른 일로도 바쁘실 텐데 정말 감사합니다.{nl}당하고만 살 순 없죠. 계속해서 공격을 감행할 생각입니다.
QUEST_LV_0100_20150317_000040	Secret Guardian	비밀의 수호자
QUEST_LV_0100_20150317_000041	Goddess sudah di meramalkannya. {nl} Tiada yang bisa lolos dari ramalannya.	여신께서 이미 예견하신 것이다.{nl}모든 존재는 예지에서 벗어날 수 없다.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels	연락관 닐스
QUEST_LV_0100_20150317_000043	Hello. {nl} Apakah kamu melihat orang tua yang kehilangan arah?{nl} Namanya Jonas.{nl}	안녕하십니까.{nl}혹시 길을 잃은 듯한 어르신을 본 적이 있습니까?{nl}성함은 요나스님이고요.{nl}
QUEST_LV_0100_20150317_000044	Kamu tidak menemukannya?{nl} dimana dia sekarang. Kelakuannya kekanak - kanakan.	보지 못하셨다고요.{nl}정신도 오락가락하신 분이 어딜 가신걸까.
QUEST_LV_0100_20150317_000045	Jonas adalah salah satu keturunan keluarga yang ikut melindungi Royal Mausoleum ini. {nl} dia adalah orang yang sangat penting pada tim lab kami. Jadi tolong jagalah ia .	요나스님은 이 왕릉을 대대로 모시던 가문의 후손이십니다.{nl}저희 연구진에게 있어 중요한 분이니 꼭 부탁하겠습니다.
QUEST_LV_0100_20150317_000046	Archivist Jonas	기록관 요나스
QUEST_LV_0100_20150317_000047	Kami sudah lama menunggu. {nl} sekarang waktunya untuk memberikanmu sesuatu yang telah kami lindungi selama ini.	우리 가문은 자네를 아주 오랫동안 기다려 왔어.{nl}이제 우리 가문이 지켜온 것을 내어 줄 때가 온 게지.
QUEST_LV_0100_20150317_000048	Senang mendengar Jonas telah kembali sadar. {nl} Kamukah orang yang memberikan sinyal itu?	요나스님께서 정신을 차리셨다니 정말 다행입니다. {nl}봉화를 올린 분은 당신이지요? {nl}
QUEST_LV_0100_20150317_000049	Ahylas datang dan melihat cahaya sinyal. {nl} temui dia dibawah tangga.	봉화를 보고 아힐라스님이 오셨습니다.{nl}아래쪽으로 가셔서 만나 보시지요.
QUEST_LV_0100_20150317_000050	Sudah lama kami tidak mendengar kabar dari Kepeck, semenjak kami mengirimkan supplies kepadanya.{nl}Kami tidak memiliki cukup orang untuk membentuk tim pencari, jadi tolong cari dia.	케펙님께 지원품을 보냈는데 소식이 끊긴 지 오래입니다.{nl}수색 인력이 부족하니 부디 힘을 빌렸으면 합니다.
QUEST_LV_0100_20150317_000051	Historian Viode	사학자 비어드
QUEST_LV_0100_20150317_000052	Selalu bersiap untuk serangan dari monster.{nl}Terutama ditempat seperti ini.	언제나 몬스터의 습격에 대비하는 것이 좋네.{nl}특히나 이런 야외에선 말이지.
QUEST_LV_0100_20150317_000053	Mercenary Mirta	용병 미르타
QUEST_LV_0100_20150317_000054	Aku sudah memperingatkan bukan?{nl} Lain kali berhati-hatilah.	제가 경고했잖습니까?{nl}다음부턴 조심하십시오.
QUEST_LV_0100_20150317_000055	Historian Kepeck	사학자 케펙
QUEST_LV_0100_20150317_000056	Pasti Niels yang mengirim kamu.{nl}Nah, karena kamu sedang terburu-buru catat sendiri dan kembali ke Niels.	보나마나 닐스가 보냈겠지.{nl}뭐, 급하다면 직접 기록해다가 닐스에게 갖다 주던가.
QUEST_LV_0100_20150317_000057	Jika kamu berjalan lurus, ambil jalan ke kanan dan melintasi Jembatan, kamu akan melihat artifacts of the Great King Zachariel.{nl}Catat dan bawa kepada Niels. Dia akan mengerti.	오른쪽 길을 따라 다리를 건너가면 자카리엘 대왕의 유물이 있어.{nl}그걸 기록해서 닐스에게 갖다 주면 닐스도 납득하겠지.
QUEST_LV_0100_20150317_000058	Jadi ini catatan Kepeck.. Mercenary Mirta sedang mencari ini.{nl}Kamu membantu memastikan keselamatan dua individu. Terima kasih atas usahamu.	이건 케펙님의 보고서.. 용병 미르타님도 찾으셨다고요. {nl}두 분의 안전만 확인된다면야. 수고하셨습니다.
QUEST_LV_0100_20150317_000059	Ahylas Jonas	아힐라스 요나스
QUEST_LV_0100_20150317_000060	Sekarang pergilah ke Broken Pillar Canyon dengan membawa Seal Removing Stone itu.{nl} Murid Gustas akan memberi tahukan cara untuk melepas segel di tempat itu secara berurutan.	이제 그 봉인 해제석을 가지고 부러진 기둥 협곡으로 가십시오.{nl}구스타스의 제자가 그 곳의 봉인을 푸는 방법을 차례대로 알려 줄 것입니다.
QUEST_LV_0100_20150317_000061	Masih juga belum mendapatkan panduan?{nl}Murid dari Gustas yang ada di Broken Pillar Canyon.{nl} panduan itu dibuat untuk mengirimkan kepada yang terpilih saja.	아직 안내 받지 못하셨나요?{nl}부러진 기둥 협곡에 있는 구스타스의 제자 입니다.{nl}오직 선택받은 이를 들여보내기 위해 만든 것이니까요.
QUEST_LV_0100_20150317_000062	Disciple of Gustas	구스타스의 제자
QUEST_LV_0100_20150317_000063	Apakah kamu ingin membuka Seal of Pagasa Cliff?{nl} Kamu harus memulainya dari seal itu.	파가사 절벽의 봉인을 푸셨습니까?{nl}이제부터가 시작입니다.
QUEST_LV_0100_20150317_000064	Kata - kata yang terukir diatas batu	바위에 새겨진 문구
QUEST_LV_0100_20150317_000065	Dilarang menyentuh atau mendorong batu.	건드리거나 밀지 마시오.
QUEST_LV_0100_20150317_000066	Aku sudah menunggumu. {nl} Seal berikutnya terletak dijalan menuju Collapsed Sanctum.	기다리고 있었습니다.{nl}다음 봉인은 무너진 성소로 가는 길에 있어요.
QUEST_LV_0100_20150317_000067	Kamu tidak tahu bagaimana perasaan kami menunggu momen ini. {nl} kami ingin sekali bertemu denganmu.	저희가 이 순간을 얼마나 기다려 왔는지 모르실 겁니다.{nl}정말 뵙고싶었어요.
QUEST_LV_0100_20150317_000068	Gustas Jonas	구스타스 요나스
QUEST_LV_0100_20150317_000069	Ternyata kamu... {nl} Kamu terlihat lebih gagah dibandingkan pertemuan silam kita.	자네로군. {nl}상상했던 것보다 아주 늠름하군 그래.
QUEST_LV_0100_20150317_000070	Soldier Alan	병사 알란
QUEST_LV_0100_20150317_000071	Kamu adalah prajurit baru kan?{nl} Aku mendapatkan surat tugas, tapi ku rasa kamu dapat melakukannya untuk mewakiliku.	신병이지? 신병이구나.{nl}나에게 정찰 임무가 내려왔는데 네가 대신 가야겠다.
QUEST_LV_0100_20150317_000072	Kamu cukup hebat sebagai pemula. {nl}Aku tidak mau kesana karena banyak memori yang buruk terjadi disana.	신병인데 꽤 하는구나.{nl}뭔가 끔찍한 기억이 떠올라서 거긴 가고싶지 않아.
QUEST_LV_0100_20150317_000073	Aku mulai mengingat sesuatu…	뭔가 기억이 날 것도 같은데..
QUEST_LV_0100_20150317_000074	Kau mengetahui bahwa kami pasukan yang berpatroli untuk menghabisi Gaigalas, kan?{nl}Prajurit baru. Bisakah kamu mengantarkan laporan ini kepada Commander Wallace?	우린 이 숲에 나타난 가이갈라스를 처치하기 위해 파견된 부대라는건 알지?{nl}신병. 이 보고서를 지휘관 월리스님께 가져다주겠어?
QUEST_LV_0100_20150317_000075	Commander Wallace	지휘관 월리스
QUEST_LV_0100_20150317_000076	Kenapa Alan tidak datang dan malah kamu yang membawa laporan ini?{nl} Apakah kamu prajurit yang baru di rekrut?	알란은 안오고 왜 자네가 정찰 보고서를 들고 오는 건가?{nl}신병인가?
QUEST_LV_0100_20150317_000077	Aku bisa pulang setelah mengalahkan Gaigalas.{nl} Ah, aku ingin segera pulang secepat mungkin.	가이갈라스를 잡아야 집에 돌아갈텐데.{nl}아, 그냥 빨리 집에 가고 싶다.
QUEST_LV_0100_20150317_000078	Commander Wallace berada di Bird Footprint Junction.	월리스님은 새발자국 삼거리에 계셔.
QUEST_LV_0100_20150317_000079	Aku tidak perduli seberapa hebatnya kamu. Kamu masih anak baru disini.{nl} dan ini perintah. Bawakan sap dari Kepa Raiders.	누가 뭐라 해도 자넨 신병이야.{nl}명령이다. 케파레이더의 즙을 가져오게.
QUEST_LV_0100_20150317_000080	Para prajurit sekarang ini, mereka kurang memiliki nyali.{nl} Ku harap kamu bisa menjadi contoh yang bagus untuk mereka.	요즘 녀석들은 배짱이 없어. {nl}자네같은 신병이 좋은 기폭제가 되었으면 좋겠군.
QUEST_LV_0100_20150317_000081	Aku yakin kita akan menangkan peperangan ini. {nl} Kenapa?  Karena Owls akan membantu kita.	이번 전투는 무조건 우리의 승리일게 분명해.{nl}왜냐고? 부엉이들이 돕겠다고 했거든.
QUEST_LV_0100_20150317_000082	Kepa Raiders berada didekat Lanutis Waterfall.{nl} Untuk mengalahkan Gaigalas, kita sangat membutuhkannya.	케파레이더는 이아너티스 폭포 근처에 있다.{nl}가이갈라스를 공략하려면 그게 꼭 필요해.
QUEST_LV_0100_20150317_000083	Soldier Weiz	병사 와이즈
QUEST_LV_0100_20150317_000084	Hey apa kamu sedang beristirahat?{nl}Ambil beberapa Duckey Fat di Lengvas Garden.	신병이 지금 놀고있는 건가?{nl}렝바스 정원의 더키에게서 기름을 구해와.
QUEST_LV_0100_20150317_000085	Kami akan mamancing Gaigalas dengan menggunakan Ducky Fat. {nl} hey anak baru, jangan bermalas-malasan, oke?	더키 기름으로 가이갈라스를 유인할 거다.{nl}신병, 놀지 마라.
QUEST_LV_0100_20150317_000086	Hari ini akan menjadi hari terakhir bagi Gaigalas. {nl}Anak baru, apa kamu siap?	오늘이 가이갈라스의 마지막 날이 될 거다.{nl}신병, 준비 됬나?
QUEST_LV_0100_20150317_000087	Berikutnya, kita harus mendapatkan Leather dari Cronewt yang hidup di Lengvas Garden. {nl} Ayo cepat, prajurit.	다음은 렝바스 정원에 사는 크로뉴트의 가죽이다.{nl}빨리 움직여, 신병.
QUEST_LV_0100_20150317_000088	Kali ini kita pasti akan menang.{nl}Goddess ada dipihak kita.	이번엔 반드시 승리할거야.{nl}여신께서 우릴 도우고 계신 게 틀림없으니까.
QUEST_LV_0100_20150317_000089	Kamu cukup hebat sebagai pemula.{nl} Untuk saat ini masih belum terorganisir jadi simpan saja bahan tersebut untuk sekarang.{nl}	신병치곤 훌륭하군.{nl}지금은 어수선하니 그 재료들은 일단 자네가 보관하라.{nl}
QUEST_LV_0100_20150317_000090	Sambil aku melakukan persiapan untuk peperangan nanti, cari tahu keadaan pasukan kita. {nl} aku akan memanggilmu sebelum kita berhadapan langsung dengan Gaigalas	전투 준비를 하는 동안 자넨 우리 병사들과 인사라도 하는 게 좋겠군.{nl}가이갈라스와 붙기 전에 부르도록 하지.
QUEST_LV_0100_20150317_000091	Ketika kita membakar Ducky Fat, Gaigalas akan muncul setelah mencium aromanya. {nl} Lengvas Garden merupakan tempat yang cocok untuk membakarnya.	더키 기름을 태우면 가이갈라스가 그 냄새를 맡고 기어 나올거다.{nl}렝바스 정원이 적당하겠어.
QUEST_LV_0100_20150317_000092	Jantungku berdebar. {nl} aku merasa jiwaku juga ikut berdebar.	가슴이 마구 떨려오는군.{nl}영혼이 마구 고동치는 느낌이야.
QUEST_LV_0100_20150317_000093	Old Owl Sculpture	오래된 부엉이 조각상
QUEST_LV_0100_20150317_000094	Tidak ada siapa pun di hutan ini. Kenapa kamu berada disini?{nl} 	아무도 없는 숲에 어쩐 일이신가요?{nl}
QUEST_LV_0100_20150317_000095	Gaigalas?{nl} akan sulit untuk mengalahkannya tanpa adanya bantuan.	가이갈라스요?{nl}그냥 쓰러뜨리려면 힘들텐데요.
QUEST_LV_0100_20150317_000096	Aku sudah melihat banyak kematian disini.{nl} aku tidak ingin melihat adanya penggorbanan lagi.	여기서 너무나도 많은 죽음을 보았어요.{nl}더 이상의 희생은 보고싶지 않아요.
QUEST_LV_0100_20150317_000097	Aku butuh Kepa Raider Sap dan Cronewt Leather.	이제 케파레이더의 즙과 크로뉴트의 가죽이 필요해요.{nl}
QUEST_LV_0100_20150317_000098	Kenapa kamu bisa memilikinya?{nl} Berikan kepadaku. Aku akan membuatkan Memory Fragment .	왜 그걸 가지고 계신거죠?{nl}일단 제게 주세요. 기억의 파편을 만들게요.
QUEST_LV_0100_20150317_000099	Aku akan mengembalikan ingatan dari rekan-rekan kita yang tertidur dengan Memory Fragment ini.	이제 이 기억의 파편으로 잠든 동료들의 기억을 되살릴 거에요.
QUEST_LV_0100_20150317_000100	Akan lebih sulit untuk mengalahkannya tanpa Memory Fragment.{nl} tolong bawakan saya Infro Holder Horns.	기억의 파편 없이는 쓰러뜨리기 힘들어요.{nl}인프로홀더의 뿔을 가져오세요.
QUEST_LV_0100_20150317_000101	Bagaimana bisa kamu memiliki semua bahan-bahan ini? 	그런데 어째서 그 재료들을 가지고 있죠?
QUEST_LV_0100_20150317_000102	Mereka adalah orang-orang yang sudah tidak ada di dunia ini.{nl} Mereka terus mengulangi apa yang terjadi di masa lalu karena dendam kepada Gaigalas.{nl}	그들은 이미 이 세상에 없는 사람들이에요.{nl}가이갈라스에 대한 원한으로 그 때의 일을 계속 반복하고 있군요.{nl}
QUEST_LV_0100_20150317_000103	Kita dapat menenangkan mereka, jika kita mengalahkan Gaigalas.{nl} Pergilah temui Worrying Owl.	가이갈라스를 처치하면 그들을 달랠 수 있어요.{nl}걱정하는 부엉이에게 가세요.
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture	걱정하는 부엉이 조각상
QUEST_LV_0100_20150317_000105	Tolong aku membangunkan rekanku yang tertidur dan melengkapi magic of the day. {nl}  Dengan menggunakan Memory Fragment.	잠들어 있는 동료들을 깨워 그 날의 마법을 완성시킬 수 있도록 도와주세요.{nl}기억의 파편으로요.
QUEST_LV_0100_20150317_000106	Mereka telah terpuaskan.{nl}Aku akan tetap tinggal disini selagi mengingat rekan-rekanku.	동료들도 만족할 거예요.{nl}저는 동료들을 기억하며 이곳에 계속 서 있겠지요.
QUEST_LV_0100_20150317_000107	Kamu akan menemukan Gaigalas bila kamu pergi ke Ishimtini Access Way.{nl} balaskan dendam para parajurit yang gugur.	이제 이쉼티니 진입로로 가시면 가이갈라스를 찾을 수 있어요.{nl}병사들의 원한을 반드시 풀어주세요.
QUEST_LV_0100_20150317_000108	Aku berada di tempat yang terisolasi sehingga aku tidak tertidur.{nl} Namun, melihat semuanya itu terjadi benar-benar menyakitkan bagiku.	저는 외진 곳에 있었기 때문에 잠들지 않았어요.{nl}하지만 그걸 전부 지켜 보는 건 너무 괴로웠어요.
QUEST_LV_0100_20150317_000109	Teman-temanku diserang saat mencoba membantu para prajurit.	제 동료들은 병사들을 도와주려던 찰나 당하고 말았어요.{nl}만약 그 때 동료들을 지켰다면, 가이갈라스를 약화시킬 마법이 완성되었겠죠.
QUEST_LV_0100_20150317_000110	Kesadaran Jonas mulai pulih setelah meminum obat	약을 빼앗아 벌컥벌컥 마시는 요나스의 몸에 뭔가 반응이 있는 것 같다.
QUEST_LV_0100_20150317_000111	Archaeologist Dezic	고고학자 데지크
QUEST_LV_0100_20150317_000112	Aku mencari asistenku namanya Airine.{nl} Bisakah kamu melawan semua monster yang mendekat sehingga aku bisa mencarinya?	아이리네라고, 사라진 조수를 찾고 있소. {nl}내가 그녀를 찾으러 갈 수 있도록 주변의 몬스터를 없애 줄 수 있겠소?
QUEST_LV_0100_20150317_000113	Sudah kubilang kepadanya untuk jangan terlalu bersemangat bahkan jika ia menemukan sesuatu.{nl} Dan ia mengulanginya lagi.	뭘 발견해도 흥분하지 말라고 단단히 일러 두었건만.{nl}또 저질렀군.
QUEST_LV_0100_20150317_000114	Terima kasih.{nl} Aku akan pergi mencari Airine.	고맙소.{nl}난 빨리 아이리네를 찾으러 먼저 가보겠소.
QUEST_LV_0100_20150317_000115	Technician Heinen	기술자 하이넨
QUEST_LV_0100_20150317_000116	Cable car ini hanya bisa digunakan oleh mereka yang memiliki izin.{nl} Mohon maaf, tapi kembalilah ke Vienisa Highlands.{nl}	이 케이블카는 허가를 받아야 이용할 수 있어.{nl}미안하지만 비에니사 고원 쪽으로 돌아가게.{nl}
QUEST_LV_0100_20150317_000117	Tetapi jika kamu bisa menghabisi monster yang mengganggu di sekitar sini, maka akan ku pertimbangkan	하지만 주변의 성가신 몬스터를 없애 준다면 생각해 보지.
QUEST_LV_0100_20150317_000118	Bukankah lebih baik menggunakan cable car daripada terluka ketika melewati para monster?.{nl} Tentu saja, itu bisa dilakukan jika kamu bisa menaiki cable car ini.	위험한 몬스터들을 해치고 지나가느니 케이블카를 이용하는 게 더 나을거야.{nl}물론 케이블카를 탈 수 있을 때의 얘기지만.
QUEST_LV_0100_20150317_000119	Kemampuanmu lebih baik dari dugaanku.{nl} Aku ingin mengajukan suatu kesepakatan kepadamu.	생각보다 괜찮은 실력이야.{nl}거래를 제안하고 싶군.
QUEST_LV_0100_20150317_000120	Jika kamu menghancurkan barrier aneh di Nutoles Cliff, maka akan kubiarkan kamu menggunakan cable car ini.{nl}Karena barrier itu membuat jumlah monster menjadi bertambah banyak.	누오토리 절벽의 이상한 결계를 부숴준다면 케이블카를 계속 이용하게 해 주지.{nl}그 결계때문에 몬스터가 자꾸 늘어나거든.
